Reference,review_block,source_raw,label_from_local,label_until_local,label_from_utc,label_until_utc,suggested_mov_type,mov_type,label_quality,review_notes,duration_s,windows,samples,feet_min,motion_score_mean,motion_score_min,motion_score_max,acc_std_mean,gyro_std_mean,low_threshold,high_threshold
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:04:31,2025-03-19 12:04:40,2025-03-19T11:04:31Z,2025-03-19T11:04:40Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,9.0,9,880,2,241.34733977573083,11.150335638061755,453.0243711664875,0.1905684890216294,51.183746437472266,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:04:50,2025-03-19 12:04:58,2025-03-19T11:04:50Z,2025-03-19T11:04:58Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,8.0,8,774,2,99.11540529361815,7.1472052662600465,244.78030340466208,0.06785134519544433,30.551541044175114,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:05:02,2025-03-19 12:05:07,2025-03-19T11:05:02Z,2025-03-19T11:05:07Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,5.0,5,499,2,0.0,0.0,0.0,0.0020512768772045263,0.34232206134509807,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:05:35,2025-03-19 12:05:42,2025-03-19T11:05:35Z,2025-03-19T11:05:42Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,7.0,7,699,2,32.94030239732608,6.528998122697445,105.83801143350802,0.025063591442367757,10.255450384520246,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:05:46,2025-03-19 12:05:53,2025-03-19T11:05:46Z,2025-03-19T11:05:53Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,7.0,7,684,2,196.98912906106733,40.16889291399203,363.6051316327962,0.15882221275578084,39.87036510169052,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:05:54,2025-03-19 12:06:03,2025-03-19T11:05:54Z,2025-03-19T11:06:03Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,9.0,9,884,2,76.32577442950907,7.861068699371546,248.02697594556503,0.06318858303551884,16.031478223373053,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:06:04,2025-03-19 12:06:10,2025-03-19T11:06:04Z,2025-03-19T11:06:10Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,6.0,6,600,2,28.574654288051452,12.713452000022988,47.537643683422885,0.023126258589999952,8.254540653467265,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:06:24,2025-03-19 12:06:29,2025-03-19T11:06:24Z,2025-03-19T11:06:29Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,5.0,5,460,2,0.0,0.0,0.0,0.0026235625795812895,0.3268296633123168,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:06:49,2025-03-19 12:06:54,2025-03-19T11:06:49Z,2025-03-19T11:06:54Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,5.0,5,482,2,0.0,0.0,0.0,0.002471237636819149,0.31542017991648774,0.0,6.430009068938881
54217882M-109,54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000,salidas_test/data_extension_selected/raw_blocks/54217882M_109_block0001_2025_03_19_120000_2025_03_19_121000_raw.parquet,2025-03-19 12:06:59,2025-03-19 12:07:04,2025-03-19T11:06:59Z,2025-03-19T11:07:04Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,5.0,5,485,2,0.0,0.0,0.0,0.00263197533430792,0.3308109620933741,0.0,6.430009068938881
