Reference,review_block,source_raw,label_from_local,label_until_local,label_from_utc,label_until_utc,suggested_mov_type,mov_type,label_quality,review_notes,duration_s,windows,samples,feet_min,motion_score_mean,motion_score_min,motion_score_max,acc_std_mean,gyro_std_mean,low_threshold,high_threshold
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 20:53:41,2026-04-25 20:53:53,2026-04-25T18:53:41Z,2026-04-25T18:53:53Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,12.0,12,1154,2,0.0,0.0,0.0,0.0011732047452098866,1.2620389120659636,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 20:54:02,2026-04-25 20:54:31,2026-04-25T18:54:02Z,2026-04-25T18:54:31Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,29.0,29,2809,2,0.0,0.0,0.0,0.0008621633367324131,0.7736969038179994,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 20:54:35,2026-04-25 20:54:49,2026-04-25T18:54:35Z,2026-04-25T18:54:49Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,14.0,14,1369,2,0.0,0.0,0.0,0.001449032232588948,1.2376907216712563,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 20:56:49,2026-04-25 20:57:06,2026-04-25T18:56:49Z,2026-04-25T18:57:06Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,17.0,17,1665,2,0.0,0.0,0.0,0.003728338097825438,1.3379475666014486,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 20:58:03,2026-04-25 20:58:14,2026-04-25T18:58:03Z,2026-04-25T18:58:14Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,11.0,11,1074,2,41.24229116417592,37.95392176246878,44.687550626687084,0.5247762672842633,130.39946973821557,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 20:58:26,2026-04-25 20:58:38,2026-04-25T18:58:26Z,2026-04-25T18:58:38Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,12.0,12,1157,2,38.55658918964247,36.226224370558285,41.40267653797826,0.48174244116480663,129.0749517824375,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 20:59:26,2026-04-25 21:00:08,2026-04-25T18:59:26Z,2026-04-25T19:00:08Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,42.0,42,4078,2,0.0,0.0,0.0,0.0011967574996886996,1.0088952993724074,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:00:15,2026-04-25 21:00:47,2026-04-25T19:00:15Z,2026-04-25T19:00:47Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,32.0,32,3126,2,0.0,0.0,0.0,0.0014236916357225566,1.7878063417291452,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:00:53,2026-04-25 21:01:17,2026-04-25T19:00:53Z,2026-04-25T19:01:17Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,24.0,24,2336,2,0.0,0.0,0.0,0.001048858817655307,1.2057491223507335,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:01:28,2026-04-25 21:01:54,2026-04-25T19:01:28Z,2026-04-25T19:01:54Z,not_walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,26.0,26,2527,2,0.0,0.0,0.0,0.00134576104154814,1.6475711839067153,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:02:34,2026-04-25 21:03:19,2026-04-25T19:02:34Z,2026-04-25T19:03:19Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,45.0,45,4388,2,40.703741113592066,36.26976366457675,45.598488386966,0.5150031345469137,130.92611966980064,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:03:46,2026-04-25 21:04:03,2026-04-25T19:03:46Z,2026-04-25T19:04:03Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,17.0,17,1654,2,39.01021125120715,35.99448510509052,43.741214149502994,0.48784468911030077,130.10649794937694,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:04:17,2026-04-25 21:04:31,2026-04-25T19:04:17Z,2026-04-25T19:04:31Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,14.0,14,1365,2,40.27444383379084,36.13558343578343,43.88600317384498,0.5086249364987597,130.36768179904803,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:04:32,2026-04-25 21:06:56,2026-04-25T19:04:32Z,2026-04-25T19:06:56Z,walking,,auto_review,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,144.0,144,14018,2,40.53647966229336,35.96657406600338,45.994074504523525,0.5139030854210502,129.7492082869851,0.0,35.871458911608286
