model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,auto_influx_heuristic,2681,1436,1245,0.9138381201044388,0.9720670391061452,0.8385542168674699,0.9003880983182406,0.9234946272070864,0.9088314259824816,0.9122380846504118
random_forest,1,previous_dataset,6099,2907,3192,0.4830300049188391,0.5087798289058982,0.3540100250626566,0.4175133936818769,0.4885312244065334,0.4893545137353187,0.4764059230752789
random_forest,2,previous_dataset,2355,1345,1010,0.6450106157112526,0.572139303482587,0.6831683168316832,0.6227436823104693,0.64681812867776,0.6497625970775516,0.6437695957663012
random_forest,2,auto_influx_heuristic,3162,2072,1090,0.9089184060721064,0.8733705772811918,0.8605504587155963,0.866913123844732,0.9002868212076458,0.8974566965392654,0.8988411773069813
random_forest,3,previous_dataset,2865,1757,1108,0.731239092495637,0.5901814300960512,0.9981949458483754,0.7417840375586855,0.794081633312405,0.7805431189116664,0.7307901264940444
random_forest,3,auto_influx_heuristic,3217,1965,1252,0.8912029841467205,0.8585055643879174,0.8626198083067093,0.8605577689243028,0.885352833240411,0.8860172832882147,0.8856815348189302
xgboost,1,auto_influx_heuristic,2681,1436,1245,0.896307348004476,0.9522918615528532,0.8176706827309237,0.8798617113223854,0.9057365014960296,0.891077681198331,0.8943271811205102
xgboost,1,previous_dataset,6099,2907,3192,0.4879488440727988,0.5146871008939975,0.3787593984962406,0.4363833243096914,0.4929435504469988,0.4933012678755712,0.4836265427316821
xgboost,2,previous_dataset,2355,1345,1010,0.6598726114649681,0.5847526358475263,0.7138613861386138,0.6428889879625501,0.6635884391358844,0.6665961205786006,0.6591015673497388
xgboost,2,auto_influx_heuristic,3162,2072,1090,0.90955091714105,0.8688073394495412,0.8688073394495412,0.8688073394495412,0.8998959477170486,0.8998959477170486,0.8998959477170486
xgboost,3,previous_dataset,2865,1757,1108,0.7588132635253054,0.616545556176635,0.9954873646209388,0.7614773904038661,0.805949358013968,0.8025245588044932,0.7587831710226178
xgboost,3,auto_influx_heuristic,3217,1965,1252,0.8706869754429593,0.8634782608695653,0.7931309904153354,0.8268109908409659,0.8690879451420879,0.8566163857929094,0.8618181938331814
catboost,1,auto_influx_heuristic,2681,1436,1245,0.907497202536367,0.9594470046082948,0.8361445783132531,0.8935622317596567,0.9158137278680571,0.902751954894788,0.9058840182544984
catboost,1,previous_dataset,6099,2907,3192,0.4881128053779308,0.5149444918872759,0.3778195488721804,0.4358511022768341,0.493165618315211,0.4935193375595852,0.4836818536594254
catboost,2,previous_dataset,2355,1345,1010,0.6675159235668789,0.5970915312232677,0.691089108910891,0.64066085360257,0.6670111956284972,0.6704516176524715,0.6656484829055915
catboost,2,auto_influx_heuristic,3162,2072,1090,0.9123972169512966,0.8838526912181303,0.8587155963302753,0.8711028385295486,0.9053119851715948,0.8996763309836704,0.9023777665701636
catboost,3,previous_dataset,2865,1757,1108,0.7657940663176265,0.6236559139784946,0.9945848375451264,0.7666086956521739,0.8090957165520889,0.808049390884117,0.7657912129749487
catboost,3,auto_influx_heuristic,3217,1965,1252,0.8725520671433012,0.8635578583765112,0.7987220447284346,0.8298755186721992,0.8705841744529472,0.8591574600232503,0.8639934253400757
