model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,previous_dataset,2810,2175,635,0.396085409252669,0.1869103773584905,0.4992125984251968,0.271986271986272,0.4507262838318485,0.4325948049597248,0.3780119867076389
random_forest,1,auto_influx_heuristic,3352,1953,1399,0.8135441527446301,0.8330464716006885,0.6919228020014296,0.7559547051932839,0.818121409316326,0.7962942223012781,0.8025489190943489
random_forest,2,previous_dataset,3012,1913,1099,0.6145418326693227,0.4862466725820763,0.997270245677889,0.6537429167909334,0.7411444444704577,0.6959691531578154,0.6095371266844971
random_forest,2,auto_influx_heuristic,3290,1951,1339,0.6775075987841945,0.5935397039030955,0.6587005227781927,0.624424778761062,0.6701068807763815,0.6745578472425049,0.6709340937746722
random_forest,3,auto_influx_heuristic,2622,1617,1005,0.9164759725400458,0.904320987654321,0.8746268656716418,0.8892261001517451,0.9139786756453424,0.908556475507435,0.91109606201343
random_forest,3,previous_dataset,6338,2740,3598,0.4443041969075418,0.5160067396798652,0.3404669260700389,0.4102478231748158,0.4586845000114765,0.4605619301883041,0.4424449139740427
xgboost,1,previous_dataset,2810,2175,635,0.4081850533807829,0.1994152046783625,0.537007874015748,0.2908315565031983,0.4660712387028177,0.4537912933297131,0.3915226484806068
xgboost,1,auto_influx_heuristic,3352,1953,1399,0.8123508353221957,0.8383128295254832,0.681915654038599,0.7520693732755223,0.8186595764610253,0.7938508121703491,0.8005607245547277
xgboost,2,previous_dataset,3012,1913,1099,0.598605577689243,0.4745841035120148,0.9344858962693358,0.6294820717131474,0.6948392215673281,0.6700657395617458,0.5957986236870698
xgboost,2,auto_influx_heuristic,3290,1951,1339,0.676595744680851,0.5988497483824586,0.6221060492905153,0.6102564102564103,0.6661968594466269,0.6680494367416185,0.666946386946387
xgboost,3,auto_influx_heuristic,2622,1617,1005,0.8871090770404272,0.919526627218935,0.7731343283582089,0.84,0.8956102466426695,0.8655405717239406,0.8763936358279316
xgboost,3,previous_dataset,6338,2740,3598,0.4466708740927737,0.5190615835777126,0.3443579766536965,0.4140350877192982,0.4609987745780236,0.4626899372319577,0.4449490937027219
catboost,1,previous_dataset,2810,2175,635,0.4106761565836299,0.1831160769708255,0.4645669291338583,0.2626892252894033,0.4497732178015095,0.4297547289347452,0.3859385664087799
catboost,1,auto_influx_heuristic,3352,1953,1399,0.8034009546539379,0.8606237816764133,0.6311651179413867,0.7282474226804124,0.8193918564443976,0.7789722159087373,0.7871197384493438
catboost,2,previous_dataset,3012,1913,1099,0.6271580345285525,0.494413407821229,0.9663330300272976,0.6541422851863259,0.7257946668735775,0.6993191548463722,0.6248745275409483
catboost,2,auto_influx_heuristic,3290,1951,1339,0.6960486322188449,0.6269662921348315,0.6250933532486931,0.6260284218399401,0.6850943992643467,0.6849198186028191,0.6850060183956486
catboost,3,auto_influx_heuristic,2622,1617,1005,0.9050343249427918,0.9029850746268656,0.8427860696517413,0.871847658260422,0.9045804232991812,0.8932545066873425,0.8982079854464788
catboost,3,previous_dataset,6338,2740,3598,0.4431997475544336,0.5135135135135135,0.3643690939410783,0.4262721508697772,0.4546431504159377,0.4555422112041158,0.4427146194961913
