model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,previous_dataset,1678,1678,0,0.5172824791418356,0.0,0.0,0.0,0.5,0.2586412395709178,0.34092694422623726
random_forest,1,auto_influx_heuristic,4706,2749,1957,0.7732681682957926,0.7645659928656362,0.6571282575370465,0.7067875790052213,0.7713372292370508,0.7565379374262169,0.7609808326344312
random_forest,2,previous_dataset,2856,2175,681,0.41351540616246496,0.2192090395480226,0.5697503671071953,0.31660546715626275,0.4747058089084496,0.46717403412831027,0.40147967316721445
random_forest,2,auto_influx_heuristic,3394,2039,1355,0.8909840895698291,0.9114452798663325,0.8051660516605166,0.8550156739811913,0.8956407100287511,0.8765898919410969,0.8838345603144862
random_forest,3,auto_influx_heuristic,1164,733,431,0.9750859106529209,0.9407894736842105,0.9953596287703016,0.9673055242390078,0.9689823074635742,0.979262351902204,0.9735903054921617
random_forest,3,previous_dataset,7626,2975,4651,0.5297665879884605,0.6460905349794238,0.5063427219952699,0.5677434908389586,0.5346755111470844,0.5363646383085593,0.526108663188312
xgboost,1,previous_dataset,1678,1678,0,0.48510131108462456,0.0,0.0,0.0,0.5,0.24255065554231228,0.32664526484751205
xgboost,1,auto_influx_heuristic,4706,2749,1957,0.738206544836379,0.6890975482524778,0.6750127746550844,0.6819824470831182,0.7305294123478236,0.7291033316709398,0.7297597320283774
xgboost,2,previous_dataset,2856,2175,681,0.41911764705882354,0.2255892255892256,0.5903083700440529,0.3264311814859927,0.4829063446381882,0.4779128057116816,0.4079062647965513
xgboost,2,auto_influx_heuristic,3394,2039,1355,0.8600471420153212,0.8866432337434095,0.744649446494465,0.8094665062174088,0.8666372197085841,0.8406915697406117,0.8494363962984599
xgboost,3,auto_influx_heuristic,1164,733,431,0.9707903780068728,0.946067415730337,0.9767981438515081,0.9611872146118722,0.9660796049444453,0.9720279941631347,0.9688856183252199
xgboost,3,previous_dataset,7626,2975,4651,0.5329137162339366,0.6527349228611501,0.5003225112878951,0.5664556962025317,0.5402310418294916,0.5420940287531912,0.5301010715236649
catboost,1,previous_dataset,1678,1678,0,0.5554231227651967,0.0,0.0,0.0,0.5,0.27771156138259834,0.357088122605364
catboost,1,auto_influx_heuristic,4706,2749,1957,0.7577560560985975,0.745640408899579,0.633622892181911,0.6850828729281768,0.7550088340915904,0.7398743780662193,0.7441298342541436
catboost,2,previous_dataset,2856,2175,681,0.42401960784313725,0.20752427184466019,0.5022026431718062,0.2936882782310004,0.46344756638590623,0.45087143652843187,0.4037167374010456
catboost,2,auto_influx_heuristic,3394,2039,1355,0.8615203299941072,0.9178470254957507,0.7173431734317344,0.8053024026512013,0.8769106647821365,0.8373375994672159,0.8489246352533556
catboost,3,auto_influx_heuristic,1164,733,431,0.9639175257731959,0.9164882226980728,0.9930394431554525,0.9532293986636972,0.9560920310047036,0.9699167202134698,0.9619293846465339
catboost,3,previous_dataset,7626,2975,4651,0.5308156307369525,0.6351045076806849,0.542248978714255,0.5850150777081884,0.5263073837993029,0.5275950775924216,0.5226734513729479
