model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,previous_dataset,2810,2175,635,0.3804270462633451,0.1418393782383419,0.3448818897637795,0.2010096374483708,0.4066226906989498,0.3678432437324644,0.3475260334873357
random_forest,1,auto_influx_heuristic,3352,1953,1399,0.89618138424821,0.949529512403764,0.7934238741958541,0.8644859813084113,0.908571444245858,0.8816069703800571,0.8901733581590412
random_forest,2,previous_dataset,3012,1913,1099,0.6241699867197875,0.4925842696629213,0.997270245677889,0.6594464500601684,0.7443861627857173,0.7035488708786727,0.6200935954004546
random_forest,2,auto_influx_heuristic,3290,1951,1339,0.7775075987841945,0.7329240214888718,0.7132188200149365,0.7229371688115064,0.7698339282079487,0.7674243766912202,0.7685280054316547
random_forest,3,auto_influx_heuristic,2622,1617,1005,0.9118993135011442,0.8757281553398059,0.8975124378109453,0.8864864864864865,0.9055148314387472,0.9091767507545758,0.907250722208653
random_forest,3,previous_dataset,6338,2740,3598,0.4466708740927737,0.5179770841564599,0.3643690939410783,0.4278022515907978,0.458620798448075,0.4595568097442618,0.4460685307136821
xgboost,1,previous_dataset,2810,2175,635,0.4053380782918149,0.1560424966799468,0.3700787401574803,0.2195235871088276,0.424647015211139,0.3928554620327631,0.3696065765380298
xgboost,1,auto_influx_heuristic,3352,1953,1399,0.888126491646778,0.9421416234887736,0.779842744817727,0.8533437622213531,0.9008793805684524,0.8727682746106045,0.8814584738283038
xgboost,2,previous_dataset,3012,1913,1099,0.6254980079681275,0.4933940774487471,0.9854413102820746,0.6575591985428051,0.7369051170597469,0.7020776859826473,0.6221861926779959
xgboost,2,auto_influx_heuristic,3290,1951,1339,0.7680851063829788,0.7246489859594384,0.6938013442867812,0.7088897367417016,0.7602328595135837,0.7564342446702998,0.7580821505128059
xgboost,3,auto_influx_heuristic,2622,1617,1005,0.8947368421052632,0.9027624309392264,0.8129353233830846,0.8554973821989529,0.8966345643339114,0.8792567773378008,0.8863569694438076
xgboost,3,previous_dataset,6338,2740,3598,0.4471442095298201,0.5186064924782264,0.3640911617565314,0.4278249510124102,0.4591983144447795,0.4601477706592876,0.4465132081069377
catboost,1,previous_dataset,2810,2175,635,0.4074733096085409,0.1524966261808367,0.3559055118110236,0.2135096835144072,0.4222573492349966,0.3892171237216038,0.3691014018485539
catboost,1,auto_influx_heuristic,3352,1953,1399,0.8815632458233891,0.9521660649819494,0.7541100786275912,0.8416433984842441,0.899434191136251,0.8634861709062175,0.8735260118463631
catboost,2,previous_dataset,3012,1913,1099,0.6298140770252324,0.4963269054178145,0.983621474067334,0.6597497711321331,0.7373720858024324,0.7050883115239963,0.626926214288309
catboost,2,auto_influx_heuristic,3290,1951,1339,0.7720364741641338,0.7281177381874516,0.70201643017177,0.714828897338403,0.7642589691437508,0.7610543452755314,0.762477739808442
catboost,3,auto_influx_heuristic,2622,1617,1005,0.897025171624714,0.8840125391849529,0.8417910447761194,0.8623853211009175,0.8942585218447288,0.886572702350954,0.8900592053402211
catboost,3,previous_dataset,6338,2740,3598,0.4465130956137583,0.5175507020280812,0.3688160088938299,0.4307043167802661,0.4579009471984603,0.4586780774396157,0.4460859625043486
