model,reference,dataset_source,rows,not_walking,walking,tn,fp,fn,tp,error_windows,error_rate,fp_rate,fn_rate,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,mean_prob_walking
catboost,ACL1998-96,previous_dataset,6338,2740,3598,1503,1237,2271,1327,3508,0.5534869043862417,0.45145985401459854,0.6311839911061701,0.4465130956137583,0.5175507020280812,0.3688160088938299,0.43070431678026616,0.4460859625043486,0.4586217156636255
random_forest,ACL1998-96,previous_dataset,6338,2740,3598,1520,1220,2287,1311,3507,0.5533291259072263,0.44525547445255476,0.6356309060589216,0.44667087409277373,0.5179770841564599,0.36436909394107836,0.4278022515907978,0.44606853071368213,0.4452195310140079
xgboost,ACL1998-96,previous_dataset,6338,2740,3598,1524,1216,2288,1310,3504,0.5528557904701799,0.44379562043795623,0.6359088382434686,0.44714420952982015,0.5186064924782264,0.3640911617565314,0.4278249510124102,0.44651320810693773,0.44967166174987244
random_forest,AEMDHUG060-70,previous_dataset,1308,1308,0,268,1040,0,0,1040,0.7951070336391437,0.7951070336391437,0.0,0.20489296636085627,0.0,0.0,0.0,0.1700507614213198,0.6485279926022709
xgboost,AEMDHUG060-70,previous_dataset,1308,1308,0,336,972,0,0,972,0.7431192660550459,0.7431192660550459,0.0,0.25688073394495414,0.0,0.0,0.0,0.20437956204379562,0.7101105993402843
catboost,AEMDHUG060-70,previous_dataset,1308,1308,0,341,967,0,0,967,0.7392966360856269,0.7392966360856269,0.0,0.2607033639143731,0.0,0.0,0.0,0.20679199514857488,0.6852866979348615
random_forest,AGCHUG064-10,previous_dataset,1560,1560,0,643,917,0,0,917,0.5878205128205128,0.5878205128205128,0.0,0.41217948717948716,0.0,0.0,0.0,0.29187471629596007,0.5518971848701856
xgboost,AGCHUG064-10,previous_dataset,1560,1560,0,663,897,0,0,897,0.575,0.575,0.0,0.425,0.0,0.0,0.0,0.2982456140350877,0.5364512978530585
catboost,AGCHUG064-10,previous_dataset,1560,1560,0,674,886,0,0,886,0.5679487179487179,0.5679487179487179,0.0,0.43205128205128207,0.0,0.0,0.0,0.3017009847806625,0.5370189917236179
random_forest,47046344M-104,previous_dataset,701,260,441,252,8,391,50,399,0.5691868758915835,0.03076923076923077,0.8866213151927438,0.43081312410841655,0.8620689655172413,0.11337868480725624,0.20040080160320642,0.37927016824346366,0.2802884831657317
catboost,47046344M-104,previous_dataset,701,260,441,249,11,382,59,393,0.5606276747503567,0.04230769230769231,0.8662131519274376,0.43937232524964337,0.8428571428571429,0.13378684807256236,0.2309197651663405,0.3949211620444497,0.27790894838412794
xgboost,47046344M-104,previous_dataset,701,260,441,248,12,375,66,387,0.5520684736091298,0.046153846153846156,0.8503401360544217,0.4479315263908702,0.8461538461538461,0.14965986394557823,0.2543352601156069,0.40802833220955886,0.30796502731719216
catboost,AGCHUG064-10,auto_influx_heuristic,1008,666,342,508,158,217,125,375,0.37202380952380953,0.23723723723723725,0.6345029239766082,0.6279761904761905,0.4416961130742049,0.3654970760233918,0.4,0.5652048885693746,0.3439732309037508
random_forest,AGCHUG064-10,auto_influx_heuristic,1008,666,342,503,163,212,130,375,0.37202380952380953,0.24474474474474475,0.6198830409356725,0.6279761904761905,0.44368600682593856,0.38011695906432746,0.4094488188976378,0.5689532291446915,0.3858056702612313
xgboost,AGCHUG064-10,auto_influx_heuristic,1008,666,342,514,152,213,129,365,0.3621031746031746,0.22822822822822822,0.6228070175438597,0.6378968253968254,0.45907473309608543,0.37719298245614036,0.41412520064205455,0.5760503964445018,0.352503538948469
xgboost,04845288Q-121,previous_dataset,474,388,86,127,261,20,66,281,0.5928270042194093,0.6726804123711341,0.23255813953488372,0.40717299578059074,0.2018348623853211,0.7674418604651163,0.3196125907990315,0.39718947296960916,0.6920752444280948
catboost,04845288Q-121,previous_dataset,474,388,86,129,259,21,65,280,0.5907172995780591,0.6675257731958762,0.2441860465116279,0.4092827004219409,0.2006172839506173,0.7558139534883721,0.3170731707317073,0.3983135370387161,0.6815330321952349
random_forest,04845288Q-121,previous_dataset,474,388,86,128,260,20,66,280,0.5907172995780591,0.6701030927835051,0.23255813953488372,0.4092827004219409,0.20245398773006135,0.7674418604651163,0.32038834951456313,0.3990001449065353,0.6576465141817536
xgboost,AMGHUG014-3,auto_influx_heuristic,748,478,270,378,100,88,182,188,0.25133689839572193,0.20920502092050208,0.32592592592592595,0.7486631016042781,0.6453900709219859,0.674074074074074,0.6594202898550725,0.7301338737410956,0.3976740176337497
random_forest,AMGHUG014-3,auto_influx_heuristic,748,478,270,388,90,85,185,175,0.2339572192513369,0.18828451882845187,0.3148148148148148,0.766042780748663,0.6727272727272727,0.6851851851851852,0.6788990825688074,0.7474411290867171,0.4010465228086415
catboost,AMGHUG014-3,auto_influx_heuristic,748,478,270,380,98,77,193,175,0.2339572192513369,0.20502092050209206,0.2851851851851852,0.766042780748663,0.6632302405498282,0.7148148148148148,0.6880570409982175,0.750445632798574,0.397232404467399
catboost,77370299R-115,auto_influx_heuristic,811,412,399,347,65,87,312,152,0.187422934648582,0.15776699029126215,0.21804511278195488,0.812577065351418,0.8275862068965517,0.7819548872180451,0.8041237113402062,0.8122273403036728,0.46604124950473663
xgboost,77370299R-115,auto_influx_heuristic,811,412,399,347,65,86,313,151,0.18618988902589395,0.15776699029126215,0.21553884711779447,0.813810110974106,0.828042328042328,0.7844611528822055,0.8056628056628057,0.8134822904053673,0.46655892181576547
