threshold,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.05,0.2922722438851471,0.2744630071599045,0.8,0.40870724122612173,0.2637224133740408,0.9313249936175645,0.2,1380,269,3648,345
0.06,0.29369018078695497,0.2734562951082598,0.7907246376811594,0.40637568896171605,0.2672876038332973,0.9251978555016594,0.20927536231884059,1364,293,3624,361
0.07,0.29369018078695497,0.2714401294498382,0.7779710144927536,0.40245913930124455,0.2694852576246201,0.9195813122287465,0.22202898550724637,1342,315,3602,383
0.08,0.29847571783055654,0.27209634619310064,0.7727536231884058,0.40247584541062803,0.2765598111173312,0.9103906050548889,0.2272463768115942,1333,351,3566,392
0.09,0.3021978021978022,0.27242798353909464,0.767536231884058,0.40212604403948365,0.28214410310082294,0.9027316824100077,0.23246376811594202,1324,381,3536,401
0.1,0.30946472881956755,0.27446499065032204,0.7657971014492754,0.40409911287855615,0.2915986504131508,0.8914985958641818,0.23420289855072463,1321,425,3492,404
0.11,0.3160226869904289,0.27574611181168557,0.7605797101449275,0.40475088693506095,0.3004800050172076,0.8797549144753638,0.23942028985507247,1312,471,3446,413
0.12,0.3209854661467565,0.27624309392265195,0.7536231884057971,0.4042917120199036,0.3074415493954865,0.8695430176155221,0.2463768115942029,1300,511,3406,425
0.13,0.32842963488124777,0.2777777777777778,0.7478260869565218,0.40508714083843617,0.3170908745901235,0.8562675516977278,0.25217391304347825,1290,563,3354,435
0.14,0.3349875930521092,0.2792419952080157,0.7431884057971014,0.4059531348955035,0.3253598202657872,0.844779167730406,0.25681159420289856,1282,608,3309,443
0.15,0.34491315136476425,0.28192077893339235,0.7385507246376811,0.4080717488789238,0.3373692077727952,0.8284401327546592,0.2614492753623188,1274,672,3245,451
0.16,0.35253456221198154,0.2838565022421525,0.7339130434782609,0.4093775262732417,0.34648127147158847,0.8154199642583609,0.26608695652173914,1266,723,3194,459
0.17,0.3598014888337469,0.2859087814840027,0.7304347826086957,0.410958904109589,0.35493597379392494,0.803420985448047,0.26956521739130435,1260,770,3147,465
0.18,0.3652959943282524,0.2867647058823529,0.7234782608695652,0.41072897811420106,0.3615004598656275,0.7924431963237172,0.27652173913043476,1248,813,3104,477
0.19,0.37256292095001775,0.2891006274692075,0.721159420289855,0.41274054412740546,0.3696122811961228,0.7809548123563952,0.2788405797101449,1244,858,3059,481
0.2,0.37982984757178306,0.29139228598306677,0.7182608695652174,0.41458925882549774,0.3776356883914562,0.7692111309675772,0.2817391304347826,1239,904,3013,486
0.21,0.38869195320808225,0.2943702290076336,0.7153623188405797,0.4171032617880683,0.3872361846484593,0.7551697727852948,0.2846376811594203,1234,959,2958,491
0.22,0.3970223325062035,0.29741483450108724,0.7136231884057971,0.419849931787176,0.3960873275172042,0.7424049017104927,0.2863768115942029,1231,1009,2908,494
0.23,0.40517546969159873,0.29997547216090265,0.7089855072463768,0.4215787659427784,0.40469671606150226,0.7286188409497064,0.2910144927536232,1223,1063,2854,502
0.24,0.4115561857497341,0.3016662521760756,0.7031884057971014,0.4222067525234946,0.41135617510609546,0.7168751595608884,0.29681159420289854,1213,1109,2808,512
0.25,0.4205955334987593,0.3043588443993918,0.696231884057971,0.4235584552988891,0.4205802253333925,0.7007914220066377,0.30376811594202896,1201,1172,2745,524
0.26,0.4273307337823467,0.3068240123140072,0.6933333333333334,0.4253956962475547,0.4273242392207567,0.6898136328823079,0.30666666666666664,1196,1215,2702,529
0.27,0.4337114498404821,0.309190031152648,0.6904347826086956,0.4271113501882733,0.4336362778626665,0.6793464386009701,0.3095652173913043,1191,1256,2661,534
0.28,0.4406238922367955,0.311561759283645,0.6857971014492754,0.42846794639623326,0.4403707312682312,0.6673474597906561,0.31420289855072464,1183,1303,2614,542
0.29,0.44842254519673874,0.31491860154790496,0.6840579710144927,0.43128654970760233,0.4479213202770634,0.6553484809803422,0.3159420289855073,1180,1350,2567,545
0.3,0.4546260191421482,0.31739600216099406,0.6811594202898551,0.4330200847613783,0.4538329039138973,0.6451365841205003,0.3188405797101449,1175,1390,2527,550
0.31,0.46100673520028357,0.3195282501371366,0.6753623188405797,0.43381120834109105,0.4597603310435372,0.6333929027316824,0.32463768115942027,1165,1436,2481,560
0.32,0.46915987238567886,0.32292247629670945,0.671304347826087,0.4360760685369987,0.46732649902657736,0.6198621393923921,0.32869565217391306,1158,1489,2428,567
0.33,0.4757178305565402,0.3250070962248084,0.663768115942029,0.43635670731707316,0.4731485325849779,0.60709726831759,0.336231884057971,1145,1539,2378,580
0.34,0.4792626728110599,0.32496392496392495,0.6527536231884058,0.43391136801541424,0.4758989068498469,0.5971406688792443,0.3472463768115942,1126,1578,2339,599
0.35,0.4849344204182914,0.3273896521484946,0.6492753623188405,0.4352895452778857,0.48092271333623837,0.5874393668623947,0.3507246376811594,1120,1616,2301,605
0.36,0.48883374689826303,0.3281944856211088,0.6417391304347826,0.43428795606120046,0.4840369621883759,0.5785039571100332,0.3582608695652174,1107,1651,2266,618
