threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.7,1,5642,0.6937256292095002,0.4989075018208303,0.39710144927536234,0.4422207876049064,0.8243553740107225,0.17564462598927752,3229,688,1040,685
0.7,2,5642,0.7054236086494151,0.5276073619631901,0.34898550724637684,0.4200976971388695,0.8623946898136329,0.13760531018636712,3378,539,1123,602
0.7,3,5642,0.7068415455512229,0.5388828039430449,0.2852173913043478,0.3730098559514784,0.892519785550166,0.10748021444983406,3496,421,1233,492
0.7,4,5642,0.6969159872385678,0.5099075297225891,0.22376811594202897,0.31103948428686545,0.905284656624968,0.09471534337503192,3546,371,1339,386
0.7,5,5642,0.6869904289259128,0.4672,0.16927536231884058,0.24851063829787234,0.9149859586418178,0.08501404135818229,3584,333,1433,292
0.7,6,5642,0.6816731655441333,0.436036036036036,0.14028985507246378,0.21228070175438596,0.9200919070717386,0.07990809292826143,3604,313,1483,242
0.7,7,5642,0.6806097128677774,0.4231536926147705,0.12289855072463768,0.19047619047619047,0.9262190451876436,0.0737809548123564,3628,289,1513,212
0.7,8,5642,0.6806097128677774,0.41612200435729846,0.11072463768115942,0.1749084249084249,0.9315802910390605,0.06841970896093949,3649,268,1534,191
0.7,9,5642,0.6791917759659695,0.39856801909307876,0.09681159420289855,0.15578358208955223,0.9356650497829971,0.0643349502170028,3665,252,1558,167
0.7,10,5642,0.6760014179369018,0.36553524804177545,0.08115942028985507,0.13282732447817835,0.9379627265764616,0.062037273423538424,3674,243,1585,140
