not_walking_weight,threshold,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
1.0,0.5,0.7020979020979021,0.8730434782608696,0.7782945736434108,0.7398779757569873,0.3879781420765027,0.12695652173913044,1506,1008,639,219
1.0,0.6,0.7120418848167539,0.7884057971014493,0.7482806052269602,0.7269868770747216,0.3339404978749241,0.21159420289855072,1360,1097,550,365
1.0,0.7,0.7292604501607717,0.6573913043478261,0.6914634146341463,0.6996578043147637,0.25561627200971465,0.3426086956521739,1134,1226,421,591
1.0,0.72,0.7443977591036415,0.616231884057971,0.674278464954012,0.6941428526385209,0.22161505768063144,0.383768115942029,1063,1282,365,662
1.0,0.8,0.8200455580865603,0.41739130434782606,0.5532078371110257,0.6361789004439455,0.09593199757134184,0.5826086956521739,720,1489,158,1005
1.5,0.5,0.7100202429149798,0.8133333333333334,0.7581734666306403,0.7320279097859084,0.34790528233151186,0.18666666666666668,1403,1074,573,322
1.5,0.6,0.7260668973471741,0.7298550724637681,0.7279560566637756,0.7207512398996199,0.28840315725561627,0.27014492753623187,1259,1172,475,466
1.5,0.7,0.7815899581589958,0.5414492753623188,0.6397260273972603,0.6823107124434,0.15846994535519127,0.45855072463768115,934,1386,261,791
1.5,0.72,0.7944344703770198,0.5130434782608696,0.623458964424093,0.6748536819559645,0.13904068002428657,0.48695652173913045,885,1418,229,840
1.5,0.8,0.8991097922848664,0.35130434782608694,0.5052105043768237,0.6160114662275373,0.041287188828172436,0.648695652173913,606,1579,68,1119
2.0,0.5,0.7115384615384616,0.7721739130434783,0.7406171809841534,0.7220721748581396,0.32786885245901637,0.22782608695652173,1332,1107,540,393
2.0,0.6,0.7572293207800942,0.6527536231884058,0.701120797011208,0.7146600587547547,0.21918639951426835,0.3472463768115942,1126,1286,361,599
2.0,0.7,0.8119891008174387,0.5182608695652174,0.6326963906581741,0.6838826516843703,0.12568306010928962,0.4817391304347826,894,1440,207,831
2.0,0.72,0.8505629477993859,0.4817391304347826,0.615099925980755,0.6789007794178886,0.08864602307225258,0.5182608695652174,831,1501,146,894
2.0,0.8,0.9561688311688312,0.34144927536231884,0.5032037590773174,0.619532835704909,0.01639344262295082,0.6585507246376812,589,1620,27,1136
3.0,0.5,0.7373552711761121,0.7014492753623188,0.7189542483660131,0.7194534415305495,0.26168791742562236,0.2985507246376812,1210,1216,431,515
3.0,0.6,0.792259083728278,0.5814492753623188,0.6706787027749916,0.7041110007346847,0.1596842744383728,0.41855072463768117,1003,1384,263,722
3.0,0.7,0.9115958668197475,0.4602898550724638,0.6117103235747303,0.6843508223466708,0.046751669702489375,0.5397101449275362,794,1570,77,931
3.0,0.72,0.9390862944162437,0.4289855072463768,0.5889375248706725,0.6723936028985837,0.029143897996357013,0.5710144927536231,740,1599,48,985
3.0,0.8,0.9611650485436893,0.28695652173913044,0.4419642857142857,0.5822166011164679,0.012143290831815421,0.7130434782608696,495,1627,20,1230
