method,evaluation,accuracy,accuracy_sd,precision_walking,precision_walking_sd,recall_walking,recall_walking_sd,f1_walking,f1_walking_sd,tn,fp,fn,tp,comment
Random Forest,Stratified CV=3,0.7394,0.0117,0.6497,0.0205,0.7856,0.0327,0.7107,0.0101,,,,,Baseline clasico con control de overfitting.
XGBoost,Stratified CV=3,0.7618,0.0119,0.6886,0.0106,0.759,0.0481,0.7216,0.0221,,,,,Mejor F1 medio en CV=3.
CatBoost,Stratified CV=3,0.7579,0.0149,0.6847,0.0118,0.7534,0.0597,0.7166,0.0265,,,,,Rendimiento similar a XGBoost en CV=3.
Random Forest,Temporal block CV,0.58,,0.4907,,0.7989,,0.6079,,329.0,437.0,106.0,421.0,Validacion mas exigente; muestra caida de generalizacion por dependencia temporal entre ventanas.
Random Forest,Sequence inference threshold=0.50,0.2341,,0.0187,,1.0,,0.0368,,180.0,628.0,0.0,12.0,Aplicacion directa por ventana movil; detecta marcha pero genera muchos falsos positivos.
Random Forest,Sequence inference threshold=0.65,0.6061,,0.0245,,0.6667,,0.0472,,489.0,319.0,4.0,8.0,Ajuste de umbral; reduce falsos positivos con perdida parcial de recall.
Random Forest,Sequence inference threshold=0.65 min_run=2,0.6695,,0.0291,,0.6667,,0.0557,,541.0,267.0,4.0,8.0,Mejor postprocesado temporal actual; baja falsos positivos sin perder mas verdaderos positivos.
Transformer encoder,Temporal sequence block CV,0.5378,,0.447,,0.6868,,0.5416,,319.0,407.0,150.0,329.0,Modelo secuencial inicial con contexto de 9 ventanas; mejora frente a RF secuencial directo pero no supera al RF por bloques.
Transformer encoder,Temporal sequence block CV threshold=0.01,0.5071,,0.4347,,0.7996,,0.5632,,228.0,498.0,96.0,383.0,"Ajuste de umbral sobre probabilidades out-of-fold; sube recall y F1, pero confirma mala calibracion y muchos falsos positivos."
Transformer encoder group-val,Temporal sequence block CV,0.5983,,0.4964,,0.7161,,0.5863,,378.0,348.0,136.0,343.0,Transformer con early stopping por grupo interno; reduce sobreajuste y es la mejor variante secuencial actual.
Transformer encoder small group-val,Temporal sequence block CV,0.6091,,0.5057,,0.7349,,0.5991,,382.0,344.0,127.0,352.0,Transformer mas pequeno y regularizado; es la mejor variante secuencial actual y queda muy cerca del RF por bloques.
Transformer small group-val label-smoothing,Temporal sequence block CV,0.6133,,0.5091,,0.7578,,0.6091,,376.0,350.0,116.0,363.0,Transformer pequeno con validacion interna y label smoothing; supera ligeramente al RF por bloques antes de ajustar umbral.
Transformer small group-val label-smoothing,Temporal sequence block CV threshold=0.43,0.6133,,0.5084,,0.8246,,0.629,,344.0,382.0,84.0,395.0,"Mejor variante transformer actual tras ajustar umbral; supera al RF por bloques en F1 walking, aunque mantiene falsos positivos."
Transformer small group-val label-smoothing,Temporal sequence block CV threshold=0.43 min_run=8,0.6456,,0.5385,,0.7599,,0.6303,,414.0,312.0,115.0,364.0,Postprocesado temporal sobre probabilidades out-of-fold; reduce falsos positivos y mantiene el mejor F1 secuencial.
