scenario,model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
original,random_forest,1,previous_dataset,2810,2175,635,0.3804270462633451,0.1418393782383419,0.3448818897637795,0.2010096374483708,0.4066226906989498,0.3678432437324644,0.3475260334873357
original,random_forest,1,auto_influx_heuristic,3352,1953,1399,0.89618138424821,0.949529512403764,0.7934238741958541,0.8644859813084113,0.908571444245858,0.8816069703800571,0.8901733581590412
original,random_forest,2,previous_dataset,3012,1913,1099,0.6241699867197875,0.4925842696629213,0.997270245677889,0.6594464500601684,0.7443861627857173,0.7035488708786727,0.6200935954004546
original,random_forest,2,auto_influx_heuristic,3290,1951,1339,0.7775075987841945,0.7329240214888718,0.7132188200149365,0.7229371688115064,0.7698339282079487,0.7674243766912202,0.7685280054316547
original,random_forest,3,auto_influx_heuristic,2622,1617,1005,0.9118993135011442,0.8757281553398059,0.8975124378109453,0.8864864864864865,0.9055148314387472,0.9091767507545758,0.907250722208653
original,random_forest,3,previous_dataset,6338,2740,3598,0.4466708740927737,0.5179770841564599,0.3643690939410783,0.4278022515907978,0.458620798448075,0.4595568097442618,0.4460685307136821
original,xgboost,1,previous_dataset,2810,2175,635,0.4053380782918149,0.1560424966799468,0.3700787401574803,0.2195235871088276,0.424647015211139,0.3928554620327631,0.3696065765380298
original,xgboost,1,auto_influx_heuristic,3352,1953,1399,0.888126491646778,0.9421416234887736,0.779842744817727,0.8533437622213531,0.9008793805684524,0.8727682746106045,0.8814584738283038
original,xgboost,2,previous_dataset,3012,1913,1099,0.6254980079681275,0.4933940774487471,0.9854413102820746,0.6575591985428051,0.7369051170597469,0.7020776859826473,0.6221861926779959
original,xgboost,2,auto_influx_heuristic,3290,1951,1339,0.7680851063829788,0.7246489859594384,0.6938013442867812,0.7088897367417016,0.7602328595135837,0.7564342446702998,0.7580821505128059
original,xgboost,3,auto_influx_heuristic,2622,1617,1005,0.8947368421052632,0.9027624309392264,0.8129353233830846,0.8554973821989529,0.8966345643339114,0.8792567773378008,0.8863569694438076
original,xgboost,3,previous_dataset,6338,2740,3598,0.4471442095298201,0.5186064924782264,0.3640911617565314,0.4278249510124102,0.4591983144447795,0.4601477706592876,0.4465132081069377
original,catboost,1,previous_dataset,2810,2175,635,0.4074733096085409,0.1524966261808367,0.3559055118110236,0.2135096835144072,0.4222573492349966,0.3892171237216038,0.3691014018485539
original,catboost,1,auto_influx_heuristic,3352,1953,1399,0.8815632458233891,0.9521660649819494,0.7541100786275912,0.8416433984842441,0.899434191136251,0.8634861709062175,0.8735260118463631
original,catboost,2,previous_dataset,3012,1913,1099,0.6298140770252324,0.4963269054178145,0.983621474067334,0.6597497711321331,0.7373720858024324,0.7050883115239963,0.626926214288309
original,catboost,2,auto_influx_heuristic,3290,1951,1339,0.7720364741641338,0.7281177381874516,0.70201643017177,0.714828897338403,0.7642589691437508,0.7610543452755314,0.762477739808442
original,catboost,3,auto_influx_heuristic,2622,1617,1005,0.897025171624714,0.8840125391849529,0.8417910447761194,0.8623853211009175,0.8942585218447288,0.886572702350954,0.8900592053402211
original,catboost,3,previous_dataset,6338,2740,3598,0.4465130956137583,0.5175507020280812,0.3688160088938299,0.4307043167802661,0.4579009471984603,0.4586780774396157,0.4460859625043486
corrected,random_forest,1,previous_dataset,2810,1583,1227,0.6177935943060499,0.5494505494505495,0.6927465362673186,0.6128334534967556,0.6254774520807775,0.626221657268214,0.6177308518362203
corrected,random_forest,1,auto_influx_heuristic,3352,1953,1399,0.8967780429594272,0.9480851063829788,0.7962830593280915,0.8655788655788655,0.9085855022038918,0.8825245301760785,0.8909008129347112
corrected,random_forest,2,previous_dataset,3012,1858,1154,0.650398406374502,0.5229441163107679,0.9974003466204506,0.6861400894187779,0.7596224897213519,0.7161382787999993,0.6458051514909551
corrected,random_forest,2,auto_influx_heuristic,3290,1951,1339,0.8556231003039514,0.7849604221635884,0.888722927557879,0.8336252189141856,0.8504847206646577,0.860814564752799,0.8530542201953478
corrected,random_forest,3,auto_influx_heuristic,2622,1617,1005,0.9187643020594966,0.8983903420523138,0.8885572139303483,0.8934467233616809,0.9147971366281225,0.9130479328773572,0.9139036390306092
corrected,random_forest,3,previous_dataset,6338,3035,3303,0.4916377406121805,0.5167424555601489,0.3784438389343021,0.4369101712687871,0.4964421642434579,0.4966354285281066,0.4867898569890095
corrected,xgboost,1,previous_dataset,2810,1583,1227,0.6412811387900356,0.5727574750830565,0.7025264873675632,0.6310395314787701,0.6465319942465091,0.6481678551809389,0.6410045302823213
corrected,xgboost,1,auto_influx_heuristic,3352,1953,1399,0.8928997613365155,0.9521739130434784,0.7827019299499642,0.8591604550804237,0.9070588003001224,0.8772700637973068,0.8863792648446643
corrected,xgboost,2,previous_dataset,3012,1858,1154,0.650066401062417,0.5228728270814272,0.9904679376083187,0.6844311377245509,0.7547778178990672,0.7145558202573349,0.6458668356282964
corrected,xgboost,2,auto_influx_heuristic,3290,1951,1339,0.8498480243161094,0.7796161482461945,0.8797610156833457,0.8266666666666667,0.8445579335947105,0.8545396569959527,0.8471134941912422
corrected,xgboost,3,auto_influx_heuristic,2622,1617,1005,0.9149504195270786,0.9133192389006344,0.8597014925373134,0.8856996412096361,0.9145951803095056,0.9044951494844884,0.9089901182057898
corrected,xgboost,3,previous_dataset,6338,3035,3303,0.4932155254023351,0.5182657567242072,0.3908567968513473,0.4456334138764239,0.497630408905384,0.4977348234668598,0.4894543122854947
corrected,catboost,1,previous_dataset,2810,1583,1227,0.6370106761565836,0.5696969696969697,0.6894865525672371,0.6238938053097345,0.6410748999428244,0.6429113116594871,0.6365686358047984
corrected,catboost,1,auto_influx_heuristic,3352,1953,1399,0.8857398568019093,0.9543828264758496,0.7626876340243031,0.8478347238776321,0.9028852359774056,0.8682869813746708,0.8781805575442615
corrected,catboost,2,previous_dataset,3012,1858,1154,0.651394422310757,0.5242763772175537,0.9731369150779896,0.6814320388349514,0.7443220966547539,0.7123488665809754,0.6482673390655695
corrected,catboost,2,auto_influx_heuristic,3290,1951,1339,0.8504559270516717,0.786342123056119,0.8685586258401793,0.8254080908445706,0.8445791233723444,0.8532952022076346,0.8473132958210093
