scenario,model,fold,cv,sample_weighting,train_rows,test_rows,train_groups,test_groups,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
original,random_forest,1,balanced_grouped,patient_source,15262,6162,11,8,4128,2034,0.6609866926322623,0.4898636196092886,0.6533923303834809,0.5599325890035812,0.6427282725474683,0.6590605062770117,0.6421149021301396
original,random_forest,2,balanced_grouped,patient_source,15122,6302,12,7,3864,2438,0.7042208822596001,0.5813492063492064,0.8412633305988515,0.6875628561850486,0.7209197365560018,0.7295084768936286,0.7033776920274445
original,random_forest,3,balanced_grouped,patient_source,12464,8960,15,4,4357,4603,0.5828125,0.6214546475709071,0.4807734086465349,0.5421362077413033,0.589390039103105,0.5856931078119064,0.5794936881264943
original,xgboost,1,balanced_grouped,patient_source,15262,6162,11,8,4128,2034,0.667964946445959,0.4977477477477477,0.6519174041297935,0.5644955300127714,0.6476731877675275,0.6638947485765246,0.6481014235429711
original,xgboost,2,balanced_grouped,patient_source,15122,6302,12,7,3864,2438,0.6999365280863218,0.5786597641645096,0.8252666119770303,0.6803043110735418,0.7139316519937593,0.723062912613774,0.6988006829698701
original,xgboost,3,balanced_grouped,patient_source,12464,8960,15,4,4357,4603,0.578125,0.6199358787525503,0.4620899413426027,0.5294996265870052,0.5860576481843779,0.5814007200401331,0.5735703676127419
original,catboost,1,balanced_grouped,patient_source,15262,6162,11,8,4128,2034,0.6653683868873742,0.4945945945945946,0.6297935103244838,0.5540657439446367,0.6418941617989771,0.6563453985730947,0.6431367680762144
original,catboost,2,balanced_grouped,patient_source,15122,6302,12,7,3864,2438,0.7040622024754046,0.5825886422600173,0.8289581624282198,0.6842728965633994,0.7176974273778025,0.7271084808000312,0.7028949968855522
original,catboost,3,balanced_grouped,patient_source,12464,8960,15,4,4357,4603,0.5783482142857143,0.6171542175518319,0.4720834238540082,0.5349581486952241,0.5851904568178354,0.581348115415643,0.5746452646293596
corrected,random_forest,1,balanced_grouped,patient_source,15262,6162,11,8,3536,2626,0.7695553391755924,0.7215282880235121,0.7479055597867479,0.7344801795063575,0.7645432137791979,0.7667695219748218,0.7654625668173989
corrected,random_forest,2,balanced_grouped,patient_source,15122,6302,12,7,3809,2493,0.7575372897492859,0.6298089857411892,0.9390292819895708,0.7539452495974235,0.7855041060233992,0.7888898050798471,0.7574856057183239
corrected,random_forest,3,balanced_grouped,patient_source,12464,8960,15,4,4652,4308,0.6166294642857143,0.6278933489598594,0.4974466109563603,0.5551094417821526,0.6187961426609284,0.6122228755555662,0.6091558582574848
corrected,xgboost,1,balanced_grouped,patient_source,15262,6162,11,8,3536,2626,0.7781564427134048,0.7370998116760829,0.7452399086062452,0.741147509941299,0.7731692386010868,0.7739208592804983,0.7735270419222326
corrected,xgboost,2,balanced_grouped,patient_source,15122,6302,12,7,3809,2493,0.7543636940653761,0.627806329456316,0.9310068190934616,0.749919224555735,0.7808897290275822,0.7848785736317925,0.7542860856174372
corrected,xgboost,3,balanced_grouped,patient_source,12464,8960,15,4,4652,4308,0.6166294642857143,0.6270002909514111,0.5002321262766946,0.5564880568108457,0.6185879600692236,0.6123258653739448,0.609447959609354
corrected,catboost,1,balanced_grouped,patient_source,15262,6162,11,8,3536,2626,0.7723141837065888,0.7349212447176335,0.7284843869002284,0.7316886593995028,0.7672920356771646,0.7666743201469468,0.7669718843156781
corrected,catboost,2,balanced_grouped,patient_source,15122,6302,12,7,3809,2493,0.7553157727705491,0.6313173156586578,0.9169675090252708,0.7477919528949951,0.7770536596943046,0.7832409086213253,0.7550978254459567
corrected,catboost,3,balanced_grouped,patient_source,12464,8960,15,4,4652,4308,0.6157366071428572,0.6264989763088622,0.4972144846796657,0.55441956774945,0.6177974036931425,0.6113544478428423,0.6083193688840451
corrected_no_transition,random_forest,1,balanced_grouped,patient_source,14844,5535,11,8,3240,2295,0.7951219512195122,0.7691237830319889,0.722875816993464,0.7452830188679245,0.7904233479991205,0.7845860566448801,0.7869660787902633
corrected_no_transition,random_forest,2,balanced_grouped,patient_source,14218,6161,12,7,3737,2424,0.7695179354000974,0.641888072357264,0.936881188118812,0.7618248909761824,0.7917789580238475,0.7989195879047364,0.769277225362305
corrected_no_transition,random_forest,3,balanced_grouped,patient_source,11696,8683,15,4,4505,4178,0.6162616607163423,0.6256684491978609,0.5040689325035902,0.5583244962884412,0.6179875065248286,0.6121898491596752,0.6095430259898732
corrected_no_transition,xgboost,1,balanced_grouped,patient_source,14844,5535,11,8,3240,2295,0.8003613369467028,0.7817234848484849,0.7193899782135076,0.7492625368731564,0.7967922127718907,0.7885530137981118,0.7917106621030947
corrected_no_transition,xgboost,2,balanced_grouped,patient_source,14218,6161,12,7,3737,2424,0.7617269923713683,0.636493432324386,0.9195544554455446,0.7522780965237934,0.7815787958914145,0.7894534385871019,0.7613798237465746
corrected_no_transition,xgboost,3,balanced_grouped,patient_source,11696,8683,15,4,4505,4178,0.6140734769089025,0.6212965679084775,0.5069411201531834,0.5583234480031634,0.6153505971889752,0.6101853214528403,0.607825186523312
corrected_no_transition,catboost,1,balanced_grouped,patient_source,14844,5535,11,8,3240,2295,0.7998193315266486,0.78852698104035,0.7067538126361655,0.7454044117647058,0.7975124841947006,0.7862472766884532,0.7902371865313556
corrected_no_transition,catboost,2,balanced_grouped,patient_source,14218,6161,12,7,3737,2424,0.767245577016718,0.6432291666666666,0.917079207920792,0.7561224489795918,0.7844611637399876,0.7935677013647311,0.7667603862408049
corrected_no_transition,catboost,3,balanced_grouped,patient_source,11696,8683,15,4,4505,4178,0.6152251525970287,0.6224758560140474,0.5090952608903782,0.5601053324555628,0.6164980875208863,0.6113733796127807,0.6090875654192665
