threshold,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.05,0.5260764099454215,0.5194159676918297,0.990521327014218,0.6814754432443448,0.3780378992420658,0.9608695652173913,0.009478672985781991,1672,63,1547,16
0.06,0.5339599757428745,0.5237048665620094,0.9881516587677726,0.6845885491483685,0.39626989848596605,0.9422360248447205,0.011848341232227487,1668,93,1517,20
0.07,0.5397210430563978,0.5268817204301075,0.9869668246445498,0.6870103092783505,0.4087972508591065,0.929192546583851,0.013033175355450236,1666,114,1496,22
0.08,0.5442692540933899,0.5294117647058824,0.9863744075829384,0.6890130353817505,0.41824446437266766,0.9192546583850931,0.013625592417061612,1665,130,1480,23
0.09,0.553668890236507,0.5346820809248555,0.9863744075829384,0.6934610578925448,0.43647411868986213,0.9,0.013625592417061612,1665,161,1449,23
0.1,0.5612492419648272,0.5391106783511846,0.9840047393364929,0.696582092681904,0.45228666757795255,0.8819875776397516,0.015995260663507108,1661,190,1420,27
0.11,0.5779260157671315,0.5489741892786234,0.9828199052132701,0.7044585987261146,0.48319430466528424,0.846583850931677,0.017180094786729858,1659,247,1363,29
0.12,0.6197695573074591,0.575452016689847,0.9804502369668247,0.7252410166520596,0.5540575162000456,0.7583850931677019,0.019549763033175356,1655,389,1221,33
0.13,0.6622195269860521,0.6050512445095169,0.9792654028436019,0.7479638009049774,0.6180076357466063,0.6701863354037267,0.020734597156398103,1653,531,1079,35
0.14,0.6804123711340206,0.618815592203898,0.9780805687203792,0.7580348943985308,0.6437495900564083,0.6316770186335404,0.021919431279620854,1651,593,1017,37
0.15,0.6925409338993329,0.6285278413424866,0.976303317535545,0.7647331786542924,0.6605818124242591,0.6049689440993788,0.023696682464454975,1648,636,974,40
0.16,0.7007277137659187,0.6353804557744303,0.9745260663507109,0.7692307692307693,0.6718081401134441,0.5863354037267081,0.0254739336492891,1645,666,944,43
0.17,0.709824135839903,0.6432771462171697,0.9721563981042654,0.7742392073602264,0.6841072999041268,0.5652173913043478,0.027843601895734597,1641,700,910,47
0.18,0.7198302001212856,0.6519490851233095,0.9709715639810427,0.7801047120418848,0.6970698998805915,0.5434782608695652,0.029028436018957347,1639,735,875,49
0.19,0.7249848392965433,0.657016485725774,0.9680094786729858,0.7827544910179641,0.7040579559592093,0.5298136645962733,0.031990521327014215,1634,757,853,54
0.2,0.7289266221952698,0.6607287449392713,0.966824644549763,0.784992784992785,0.7091493867539806,0.5204968944099378,0.03317535545023697,1632,772,838,56
0.21,0.7355973317161917,0.6669394435351882,0.9656398104265402,0.7889641819941917,0.7175340390490439,0.5055900621118012,0.034360189573459717,1630,796,814,58
0.22,0.7395391146149182,0.6709278350515464,0.9638625592417062,0.7911500121565767,0.7225987676570238,0.4956521739130435,0.03613744075829384,1627,812,798,61
0.23,0.742874469375379,0.6745635910224439,0.9614928909952607,0.7928676111382511,0.7269693771118914,0.4863354037267081,0.03850710900473934,1623,827,783,65
0.24,0.7437841115827775,0.6764336542486395,0.957345971563981,0.7927397596271768,0.7286445920009643,0.48012422360248447,0.04265402843601896,1616,837,773,72
0.25,0.7456033959975743,0.6785864535128313,0.955568720379147,0.7936039360393604,0.7310572031046269,0.4745341614906832,0.04443127962085308,1613,846,764,75
0.26,0.7459066100667071,0.6799322607959356,0.9514218009478673,0.7930864197530865,0.7319713324217121,0.46956521739130436,0.0485781990521327,1606,854,756,82
0.27,0.7495451788963008,0.6837169650468883,0.9502369668246445,0.7952404561229549,0.7364180422691278,0.4608695652173913,0.04976303317535545,1604,868,742,84
0.28,0.7516676773802304,0.6864006864006864,0.9478672985781991,0.7962179646678278,0.7392032780265798,0.4540372670807453,0.052132701421800945,1600,879,731,88
0.29,0.7528805336567617,0.6882276843467011,0.9454976303317536,0.79660593960569,0.7409062915486928,0.44906832298136645,0.054502369668246446,1596,887,723,92
0.3,0.750758035172832,0.6882608695652174,0.9377962085308057,0.7938816449348044,0.7393487979275248,0.4453416149068323,0.06220379146919431,1583,893,717,105
0.31,0.7486355366889024,0.6882946076282332,0.9300947867298578,0.7911312673217435,0.737781088552383,0.44161490683229815,0.06990521327014218,1570,899,711,118
0.32,0.7474226804123711,0.6892430278884463,0.92239336492891,0.7889536356726627,0.7372476747634737,0.4360248447204969,0.07760663507109004,1557,908,702,131
0.33,0.7459066100667071,0.6897321428571429,0.9152843601895735,0.7866598778004074,0.7362834621385845,0.43167701863354035,0.08471563981042654,1545,915,695,143
0.34,0.7431776834445118,0.6891587944219523,0.9075829383886256,0.7834313474814626,0.7339875545600982,0.4291925465838509,0.0924170616113744,1532,919,691,156
0.35,0.7404487568223166,0.6882352941176471,0.9010663507109005,0.7804002052334531,0.7315640759302922,0.42795031055900623,0.09893364928909952,1521,921,689,167
0.36,0.7389326864766526,0.6875283446712018,0.8981042654028436,0.7788338042640637,0.7301494215548954,0.42795031055900623,0.1018957345971564,1516,921,689,172
0.37,0.7395391146149182,0.6890104879160966,0.8951421800947867,0.7786652924503994,0.7311374344388277,0.4236024844720497,0.10485781990521327,1511,928,682,177
0.38,0.739842328684051,0.690018315018315,0.8927725118483413,0.7784090909090909,0.7317155586704045,0.42049689440993787,0.10722748815165876,1507,933,677,181
0.39,0.7395391146149182,0.6902248737953189,0.8909952606635071,0.7778639772433411,0.7315483316044482,0.4192546583850932,0.10900473933649289,1504,935,675,184
0.4,0.7401455427531838,0.6910344827586207,0.8904028436018957,0.7781516955733886,0.7322884346875358,0.41739130434782606,0.10959715639810426,1503,938,672,185
0.41,0.7407519708914494,0.692378752886836,0.8880331753554502,0.7780949909161692,0.7331962377110923,0.41366459627329194,0.11196682464454977,1499,944,666,189
0.42,0.7395391146149182,0.6927010692701069,0.8827014218009479,0.7762438134930971,0.7323366328981626,0.41055900621118013,0.11729857819905214,1490,949,661,198
0.43,0.7404487568223166,0.694392523364486,0.8803317535545023,0.7763845350052246,0.7335679900459648,0.4062111801242236,0.11966824644549763,1486,956,654,202
0.44,0.7401455427531838,0.6953455571227081,0.8761848341232228,0.7753604193971166,0.7335989439668071,0.40248447204968946,0.12381516587677725,1479,962,648,209
0.45,0.739842328684051,0.6957547169811321,0.8738151658767772,0.7746848739495799,0.7334686923549908,0.40062111801242234,0.12618483412322276,1475,965,645,213
0.46,0.7386294724075197,0.6962927756653993,0.8678909952606635,0.7726793248945147,0.7326306752860591,0.3968944099378882,0.13210900473933648,1465,971,639,223
0.47,0.7392359005457854,0.6977077363896849,0.865521327014218,0.772607086197779,0.7334961514855277,0.39316770186335404,0.13447867298578198,1461,977,633,227
0.48,0.739842328684051,0.7004830917874396,0.8590047393364929,0.7716870675891432,0.7346807430968971,0.38509316770186336,0.14099526066350712,1450,990,620,238
0.49,0.7395391146149182,0.7020965382740126,0.8530805687203792,0.7702594276544531,0.7347971972013952,0.3795031055900621,0.14691943127962084,1440,999,611,248
0.5,0.739842328684051,0.7038310412573674,0.8489336492890995,0.7696025778732546,0.7354280298837025,0.37453416149068325,0.15106635071090047,1433,1007,603,255
0.51,0.7404487568223166,0.7061446977205154,0.8441943127962085,0.7690232056125202,0.7364147169931113,0.36832298136645963,0.15580568720379148,1425,1017,593,263
0.52,0.7374166161309885,0.7065326633165829,0.8329383886255924,0.7645459488852637,0.733883666697601,0.3627329192546584,0.1670616113744076,1406,1026,584,282
0.53,0.7368101879927229,0.7083333333333334,0.8258293838862559,0.762582056892779,0.733671980827342,0.3565217391304348,0.17417061611374407,1394,1036,574,294
0.54,0.7368101879927229,0.710688591983556,0.8193127962085308,0.7611447440836544,0.7340497521903755,0.34968944099378885,0.1806872037914692,1383,1047,563,305
