threshold,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.05,0.5210557532621589,0.516546329723225,0.9953623188405797,0.6801346801346801,0.3636661601263371,0.9757134183363692,0.00463768115942029,1717,40,1607,8
0.06,0.5329181494661922,0.5228937728937729,0.9930434782608696,0.6850629874025195,0.3907242647855971,0.9489981785063752,0.006956521739130435,1713,84,1563,12
0.07,0.5430011862396203,0.5284301606922126,0.991304347826087,0.6893771417053014,0.412551722843677,0.9265330904675168,0.008695652173913044,1710,121,1526,15
0.08,0.5504151838671412,0.5326256634405245,0.9889855072463768,0.6923701298701299,0.42878418387779627,0.9089253187613844,0.011014492753623189,1706,150,1497,19
0.09,0.5569395017793595,0.5363550519357885,0.9878260869565217,0.6952264381884945,0.4420757598108596,0.8943533697632058,0.01217391304347826,1704,174,1473,21
0.1,0.5682087781731909,0.5429575215586074,0.9855072463768116,0.700164744645799,0.4644891519839165,0.8688524590163934,0.014492753623188406,1700,216,1431,25
0.11,0.6097271648873073,0.5685551458263494,0.9831884057971014,0.7204757858963466,0.5370551817497451,0.7814207650273224,0.01681159420289855,1696,360,1287,29
0.12,0.6485765124555161,0.5949367088607594,0.9808695652173913,0.7406434668417596,0.5979079403174316,0.6994535519125683,0.019130434782608695,1692,495,1152,33
0.13,0.6755634638196916,0.6149362477231329,0.9785507246376811,0.7552572706935123,0.6370833407117518,0.6417729204614451,0.021449275362318842,1688,590,1057,37
0.14,0.6850533807829181,0.6223698781838317,0.9773913043478261,0.7604871447902571,0.6503734425249987,0.6211293260473588,0.022608695652173914,1686,624,1023,39
0.15,0.6954329774614472,0.631006006006006,0.9744927536231884,0.7660059239006607,0.6649562528208186,0.596842744383728,0.025507246376811593,1681,664,983,44
0.16,0.7067022538552787,0.6403508771929824,0.9733333333333334,0.7724867724867724,0.6799438451503532,0.5725561627200971,0.02666666666666667,1679,704,943,46
0.17,0.7129300118623962,0.6456329357445171,0.9727536231884057,0.7761332099907493,0.6880666049953746,0.5591985428051002,0.027246376811594204,1678,726,921,47
0.18,0.7230130486358244,0.65443186255369,0.9715942028985507,0.7820811945870275,0.701048733990015,0.5373406193078324,0.028405797101449276,1676,762,885,49
0.19,0.7292408066429419,0.6604743083003952,0.9686956521739131,0.7854289071680376,0.7093074628246777,0.5215543412264724,0.03130434782608696,1671,788,859,54
0.2,0.7372479240806643,0.6678671468587435,0.967536231884058,0.7902462121212122,0.7193294552669554,0.50394656952034,0.03246376811594203,1669,817,830,56
0.21,0.7449584816132859,0.6748887990295188,0.967536231884058,0.7951405431157694,0.7286778913536427,0.48816029143898,0.03246376811594203,1669,843,804,56
