model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,auto_influx_heuristic,2844,1801,1043,0.9103375527426161,0.8634686346863468,0.8974113135186961,0.8801128349788434,0.9013365900704462,0.9076173724728405,0.9042518682055127
random_forest,1,previous_dataset,6099,2907,3192,0.48876865059845875,0.5159620362381363,0.37468671679197996,0.4341197822141561,0.49402968249357226,0.4943609022556391,0.4839558241214321
random_forest,1,auto_confirmed_new_influx_refs,550,299,251,0.9854545454545455,1.0,0.9681274900398407,0.9838056680161943,0.9869706840390879,0.9840637450199203,0.9853021739420905
random_forest,2,previous_dataset,2849,1798,1051,0.7392067392067392,0.5858416945373467,1.0,0.7388400702987697,0.7929208472686733,0.7933815350389322,0.7392062251248492
random_forest,2,auto_influx_heuristic,3212,1779,1433,0.9097135740971357,0.9339407744874715,0.8583391486392185,0.8945454545454545,0.9134083819666909,0.9047176350278723,0.9078062057702776
random_forest,2,auto_confirmed_new_influx_refs,696,295,401,0.9956896551724138,1.0,0.9925187032418953,0.9962453066332916,0.9949664429530201,0.9962593516209477,0.9955931423554316
random_forest,3,previous_dataset,2840,1773,1067,0.6971830985915493,0.5828662930344275,0.6822867853795689,0.6286701208981001,0.6848963771897467,0.6942172787585943,0.6865110414240798
random_forest,3,auto_influx_heuristic,3004,1893,1111,0.8971371504660453,0.9203354297693921,0.7902790279027903,0.8503631961259079,0.9033384465920131,0.8750655572688806,0.8859982351413207
random_forest,3,auto_confirmed_new_influx_refs,793,540,253,0.9747793190416141,0.9267399267399268,1.0,0.9619771863117871,0.9633699633699634,0.9814814814814814,0.9715546308917427
xgboost,1,auto_influx_heuristic,2844,1801,1043,0.9089310829817159,0.8726235741444867,0.8801534036433365,0.8763723150357995,0.9014345549293862,0.9028751471298304,0.9021438530369645
xgboost,1,previous_dataset,6099,2907,3192,0.4895884571241187,0.5169309901414488,0.37781954887218044,0.4365610859728507,0.49479050834741056,0.4950673251756843,0.4850271337252235
xgboost,1,auto_confirmed_new_influx_refs,550,299,251,0.9436363636363636,0.9867256637168141,0.8884462151394422,0.9350104821802935,0.9501529553151972,0.9392063851616943,0.9426256263228916
xgboost,2,previous_dataset,2849,1798,1051,0.7402597402597403,0.586823003908431,1.0,0.7396199859254047,0.7934115019542155,0.7942157953281423,0.740258172234411
xgboost,2,auto_influx_heuristic,3212,1779,1433,0.9078455790784558,0.9258426966292135,0.8625261688764829,0.8930635838150289,0.9104439908292578,0.9034384638648856,0.9060503914698776
xgboost,2,auto_confirmed_new_influx_refs,696,295,401,0.9942528735632183,1.0,0.9900249376558603,0.9949874686716792,0.9933110367892977,0.9950124688279302,0.9941267309688362
xgboost,3,previous_dataset,2840,1773,1067,0.6992957746478873,0.5822393822393822,0.7066541705716963,0.6384419983065199,0.6898251927378141,0.7007608134302362,0.6905290160308971
xgboost,3,auto_influx_heuristic,3004,1893,1111,0.8981358189081226,0.9214659685863874,0.7920792079207921,0.8518877057115198,0.9043640238246724,0.876229778286862,0.887131067467632
xgboost,3,auto_confirmed_new_influx_refs,793,540,253,0.8297604035308953,0.6528497409326425,0.9960474308300395,0.7887323943661971,0.82519636923782,0.8739496413409458,0.8230884780701102
catboost,1,auto_influx_heuristic,2844,1801,1043,0.9071729957805907,0.8589861751152074,0.8935762224352828,0.8759398496240601,0.897941069365449,0.9043117092187518,0.9008912731266367
catboost,1,previous_dataset,6099,2907,3192,0.4913920314805706,0.5189075630252101,0.3869047619047619,0.4432878679109835,0.4963454190495774,0.4965139564597769,0.4875660589177616
catboost,1,auto_confirmed_new_influx_refs,550,299,251,0.9636363636363636,0.9873417721518988,0.9322709163346613,0.9590163934426229,0.9665143365551826,0.9611187357593038,0.9631683274402657
catboost,2,previous_dataset,2849,1798,1051,0.7444717444717445,0.5907813378302417,1.0,0.742756183745583,0.7953906689151209,0.7975528364849833,0.7444603791810203
catboost,2,auto_influx_heuristic,3212,1779,1433,0.9125155666251556,0.9324324324324325,0.8667131891137474,0.898372513562387,0.9154183438757907,0.908061484944732,0.9107877872540002
catboost,2,auto_confirmed_new_influx_refs,696,295,401,0.992816091954023,1.0,0.9875311720698254,0.9937264742785445,0.9916666666666667,0.9937655860349127,0.9926615564670034
catboost,3,previous_dataset,2840,1773,1067,0.6961267605633803,0.5777439024390244,0.7104029990627929,0.6372425388818831,0.687759385774486,0.6989691250249103,0.6879033051876849
catboost,3,auto_influx_heuristic,3004,1893,1111,0.8968042609853528,0.9265175718849841,0.783078307830783,0.848780487804878,0.9049052750466082,0.8733141142957401,0.8852290513809635
catboost,3,auto_confirmed_new_influx_refs,793,540,253,0.8865069356872636,0.7376093294460642,1.0,0.8489932885906041,0.8688046647230321,0.9166666666666667,0.8790420988407566
