model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,previous_dataset,2325,1304,1021,0.6584946236559139,0.6051899907321594,0.6395690499510284,0.621904761904762,0.6549224431991455,0.6564409666933055,0.6552661064425771
random_forest,1,auto_influx_heuristic,3210,1936,1274,0.8862928348909658,0.9460255152109912,0.7566718995290423,0.840819886611426,0.9022688050724057,0.8641314043099757,0.876188959540266
random_forest,2,previous_dataset,3364,2267,1097,0.6843043995243757,0.5081206496519721,0.9981768459434822,0.6734317343173432,0.7532331949665981,0.7652992743171315,0.6839540719918131
random_forest,2,auto_influx_heuristic,3266,1939,1327,0.8606858542559707,0.7949932341001353,0.8854559155990958,0.8377896613190731,0.8549910242089044,0.8645948995220853,0.8578537788752596
random_forest,3,auto_influx_heuristic,2584,1598,986,0.9214396284829721,0.9116719242902208,0.8793103448275862,0.895198760970573,0.919399954796672,0.9133723188468343,0.9161849577059613
random_forest,3,previous_dataset,6099,2907,3192,0.4871290375471389,0.5139009556907037,0.3706140350877193,0.43065161994903534,0.4923995165601267,0.49284055727554177,0.4820322538885988
xgboost,1,previous_dataset,2325,1304,1021,0.6821505376344086,0.6363636363636364,0.6444662095984329,0.6403892944038929,0.6775931272445602,0.6780613256581122,0.6778054371826787
xgboost,1,auto_influx_heuristic,3210,1936,1274,0.8769470404984424,0.9489274770173647,0.7291993720565149,0.8246782068353307,0.8971441508798164,0.8516864628877616,0.8649428951143296
xgboost,2,previous_dataset,3364,2267,1097,0.6739001189060642,0.5,0.9908842297174111,0.664628553959034,0.7457983193277311,0.7556979595874219,0.6736506958398005
xgboost,2,auto_influx_heuristic,3266,1939,1327,0.8432333129210043,0.7777777777777778,0.8598342125094197,0.8167501789549033,0.8371935025631524,0.8458531557647666,0.8398892681826415
xgboost,3,auto_influx_heuristic,2584,1598,986,0.9117647058823529,0.9239373601789709,0.8377281947261663,0.8787234042553191,0.9146314019829765,0.8975875016184023,0.9046901692809443
xgboost,3,previous_dataset,6099,2907,3192,0.4889326119035908,0.5160599571734475,0.3775062656641604,0.4360412520354623,0.4940820508502732,0.49439468769964123,0.4843974810619524
catboost,1,previous_dataset,2325,1304,1021,0.6735483870967742,0.6252390057361377,0.6405484818805093,0.6328011611030478,0.669148040788319,0.6699674924739969,0.6694783970439746
catboost,1,auto_influx_heuristic,3210,1936,1274,0.8822429906542056,0.9507042253521126,0.7417582417582418,0.8333333333333334,0.9011192606904967,0.8582241622014349,0.8711464354527938
catboost,2,previous_dataset,3364,2267,1097,0.6863852556480381,0.5098406747891284,0.99179580674567,0.6734757041163726,0.7512618008091984,0.7651965359268712,0.6858942718465764
catboost,2,auto_influx_heuristic,3266,1939,1327,0.8515003061849357,0.793584379358438,0.8575734740015072,0.8243390076059399,0.8452092202469046,0.8524587328749156,0.847862953816229
catboost,3,auto_influx_heuristic,2584,1598,986,0.9140866873065016,0.9098712446351931,0.8600405679513184,0.8842544316996872,0.9131680678381777,0.9037374304087005,0.9079733696959975
catboost,3,previous_dataset,6099,2907,3192,0.4882767666830628,0.5147241808378267,0.38878446115288223,0.44297697661966806,0.4928555828267225,0.49315384048356187,0.48486983781703646
