reference,time_center,mov_type,target,block_id,nearest_transition_distance_s
02548893X-118,2025-02-28 09:48:09.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:10.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:15.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:16.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:17.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:23.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:24.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:25.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:31.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:32.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:34.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:35.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:38.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:39.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:41.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:42.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:44.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:45.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:46.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:47.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:50.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:51.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:52.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:48:53.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:54.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:48:55.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:49:07.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:49:08.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:49:10.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:49:11.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:49:18.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:49:19.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:49:20.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:49:21.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:49:22.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:49:23.010000+00:00,not_walking,0,1,1.0
02548893X-118,2025-02-28 09:49:24.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:49:28.010000+00:00,walking,1,1,1.0
02548893X-118,2025-02-28 09:49:29.010000+00:00,not_walking,0,1,1.0
04845288Q-121,2025-03-01 11:32:29.010000+00:00,walking,1,2,1.0
04845288Q-121,2025-03-01 11:32:30.010000+00:00,not_walking,0,2,1.0
04845288Q-121,2025-03-01 11:32:41.010000+00:00,not_walking,0,2,1.0
04845288Q-121,2025-03-01 11:32:42.010000+00:00,walking,1,2,1.0
04845288Q-121,2025-03-01 11:32:48.010000+00:00,walking,1,2,1.0
04845288Q-121,2025-03-01 11:32:49.010000+00:00,not_walking,0,2,1.0
04845288Q-121,2025-03-01 11:35:31.010000+00:00,not_walking,0,3,2.0
04845288Q-121,2025-03-01 11:35:33.010000+00:00,walking,1,3,2.0
04845288Q-121,2025-03-01 11:35:43.010000+00:00,walking,1,3,2.0
04845288Q-121,2025-03-01 11:35:45.010000+00:00,not_walking,0,3,2.0
04845288Q-121,2025-03-01 11:36:15.010000+00:00,not_walking,0,3,1.0
04845288Q-121,2025-03-01 11:36:16.010000+00:00,walking,1,3,1.0
04845288Q-121,2025-03-01 11:37:57.010000+00:00,walking,1,3,1.0
04845288Q-121,2025-03-01 11:37:58.010000+00:00,not_walking,0,3,1.0
04845288Q-121,2025-03-01 11:38:17.010000+00:00,not_walking,0,3,1.0
04845288Q-121,2025-03-01 11:38:18.010000+00:00,walking,1,3,1.0
04845288Q-121,2025-03-01 11:38:41.010000+00:00,walking,1,3,3.0
04845288Q-121,2025-03-01 11:38:44.010000+00:00,not_walking,0,3,3.0
04845288Q-121,2025-03-01 11:39:22.010000+00:00,not_walking,0,3,1.0
04845288Q-121,2025-03-01 11:39:23.010000+00:00,walking,1,3,1.0
04845288Q-121,2025-03-01 11:39:33.010000+00:00,walking,1,3,1.0
04845288Q-121,2025-03-01 11:39:34.010000+00:00,not_walking,0,3,1.0
04845288Q-121,2025-03-01 11:40:24.010000+00:00,walking,1,4,1.0
04845288Q-121,2025-03-01 11:40:25.010000+00:00,not_walking,0,4,1.0
47046344M-104,2024-10-15 07:29:59.010000+00:00,not_walking,0,14,3.0
47046344M-104,2024-10-15 07:30:02.010000+00:00,walking,1,14,3.0
47046344M-104,2024-10-15 07:30:15.010000+00:00,walking,1,14,1.0
47046344M-104,2024-10-15 07:30:16.010000+00:00,not_walking,0,14,1.0
47046344M-104,2024-10-15 07:31:50.010000+00:00,not_walking,0,14,4.01
47046344M-104,2024-10-15 07:31:54.020000+00:00,walking,1,14,4.01
47046344M-104,2024-10-15 07:37:25.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:26.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:37:30.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:37:31.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:32.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:37:33.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:37:34.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:41.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:42.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:37:43.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:49.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:50.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:37:51.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:37:52.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:56.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:57.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:37:58.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:37:59.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:38:00.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:38:01.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:38:02.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:38:03.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:38:08.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:38:09.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:38:11.010000+00:00,not_walking,0,16,2.0
47046344M-104,2024-10-15 07:38:31.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:38:32.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:44:11.010000+00:00,walking,1,19,2.0
47046344M-104,2024-10-15 07:44:13.010000+00:00,not_walking,0,19,2.0
47046344M-104,2024-10-15 07:45:23.010000+00:00,not_walking,0,19,2.0
47046344M-104,2024-10-15 07:45:25.010000+00:00,walking,1,19,2.0
54217882M-109,2025-03-19 11:12:18.020000+00:00,walking,1,36,1.0
54217882M-109,2025-03-19 11:12:19.020000+00:00,not_walking,0,36,1.0
54217882M-109,2025-03-19 11:21:14.020000+00:00,walking,1,47,2.0
54217882M-109,2025-03-19 11:21:16.020000+00:00,not_walking,0,47,2.0
54217882M-109,2025-03-19 11:22:17.020000+00:00,not_walking,0,48,2.0
54217882M-109,2025-03-19 11:22:19.020000+00:00,walking,1,48,2.0
54217882M-109,2025-03-19 11:34:28+00:00,walking,1,65,4.0
54217882M-109,2025-03-19 11:34:32+00:00,not_walking,0,65,4.0
54217882M-109,2025-03-19 11:34:47+00:00,not_walking,0,65,4.0
54217882M-109,2025-03-19 11:34:51+00:00,walking,1,65,4.0
54217882M-109,2025-03-19 11:36:29+00:00,walking,1,69,1.0
54217882M-109,2025-03-19 11:36:30+00:00,not_walking,0,69,1.0
54217882M-109,2025-03-19 11:40:07.010000+00:00,not_walking,0,75,1.0
54217882M-109,2025-03-19 11:40:08.010000+00:00,walking,1,75,1.0
54217882M-109,2025-03-19 11:41:49.010000+00:00,not_walking,0,77,1.0
54217882M-109,2025-03-19 11:41:50.010000+00:00,walking,1,77,1.0
