threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.6,1,820,0.46219512195121953,0.020134228187919462,0.75,0.0392156862745098,0.45792079207920794,0.5420792079207921,370,438,3,9
0.6,2,820,0.5134146341463415,0.022222222222222223,0.75,0.04316546762589928,0.5099009900990099,0.4900990099009901,412,396,3,9
0.6,3,820,0.5695121951219512,0.025069637883008356,0.75,0.04851752021563342,0.5668316831683168,0.43316831683168316,458,350,3,9
0.6,4,820,0.5768292682926829,0.01729106628242075,0.5,0.033426183844011144,0.5779702970297029,0.422029702970297,467,341,6,6
0.6,5,820,0.6207317073170732,0.01929260450160772,0.5,0.03715170278637771,0.6225247524752475,0.3774752475247525,503,305,6,6
0.65,1,820,0.6060975609756097,0.024464831804281346,0.6666666666666666,0.0471976401179941,0.6051980198019802,0.3948019801980198,489,319,4,8
0.65,2,820,0.6695121951219513,0.02909090909090909,0.6666666666666666,0.05574912891986063,0.6695544554455446,0.33044554455445546,541,267,4,8
0.65,3,820,0.7207317073170731,0.026200873362445413,0.5,0.04979253112033195,0.724009900990099,0.275990099009901,585,223,6,6
0.65,4,820,0.75,0.0,0.0,0.0,0.7611386138613861,0.23886138613861385,615,193,12,0
0.65,5,820,0.7841463414634147,0.0,0.0,0.0,0.7957920792079208,0.2042079207920792,643,165,12,0
0.7,1,820,0.8146341463414634,0.013888888888888888,0.16666666666666666,0.02564102564102564,0.8242574257425742,0.17574257425742573,666,142,10,2
0.7,2,820,0.8865853658536585,0.0,0.0,0.0,0.8997524752475248,0.10024752475247525,727,81,12,0
0.7,3,820,0.9402439024390243,0.0,0.0,0.0,0.9542079207920792,0.04579207920792079,771,37,12,0
0.7,4,820,0.9658536585365853,0.0,0.0,0.0,0.9801980198019802,0.019801980198019802,792,16,12,0
0.7,5,820,0.9853658536585366,0.0,0.0,0.0,1.0,0.0,808,0,12,0
