threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.62,1,820,0.5109756097560976,0.019753086419753086,0.6666666666666666,0.03836930455635491,0.5086633663366337,0.49133663366336633,411,397,4,8
0.62,2,820,0.5585365853658537,0.02185792349726776,0.6666666666666666,0.042328042328042326,0.556930693069307,0.4430693069306931,450,358,4,8
0.62,3,820,0.6195121951219512,0.019230769230769232,0.5,0.037037037037037035,0.6212871287128713,0.3787128712871287,502,306,6,6
0.62,4,820,0.6414634146341464,0.0,0.0,0.0,0.650990099009901,0.349009900990099,526,282,12,0
0.62,5,820,0.6658536585365854,0.0,0.0,0.0,0.6757425742574258,0.32425742574257427,546,262,12,0
0.62,6,820,0.7024390243902439,0.0,0.0,0.0,0.7128712871287128,0.2871287128712871,576,232,12,0
0.62,7,820,0.7463414634146341,0.0,0.0,0.0,0.7574257425742574,0.24257425742574257,612,196,12,0
0.62,8,820,0.7804878048780488,0.0,0.0,0.0,0.7920792079207921,0.2079207920792079,640,168,12,0
0.63,1,820,0.5365853658536586,0.020833333333333332,0.6666666666666666,0.04040404040404041,0.5346534653465347,0.46534653465346537,432,376,4,8
0.63,2,820,0.5926829268292683,0.023668639053254437,0.6666666666666666,0.045714285714285714,0.5915841584158416,0.4084158415841584,478,330,4,8
0.63,3,820,0.6536585365853659,0.02112676056338028,0.5,0.04054054054054054,0.655940594059406,0.34405940594059403,530,278,6,6
0.63,4,820,0.6792682926829269,0.0,0.0,0.0,0.6893564356435643,0.31064356435643564,557,251,12,0
0.63,5,820,0.698780487804878,0.0,0.0,0.0,0.7091584158415841,0.2908415841584158,573,235,12,0
0.63,6,820,0.7292682926829268,0.0,0.0,0.0,0.7400990099009901,0.2599009900990099,598,210,12,0
0.63,7,820,0.7804878048780488,0.0,0.0,0.0,0.7920792079207921,0.2079207920792079,640,168,12,0
0.63,8,820,0.823170731707317,0.0,0.0,0.0,0.8353960396039604,0.1646039603960396,675,133,12,0
0.64,1,820,0.574390243902439,0.0226628895184136,0.6666666666666666,0.043835616438356165,0.573019801980198,0.42698019801980197,463,345,4,8
0.64,2,820,0.6390243902439025,0.02666666666666667,0.6666666666666666,0.05128205128205128,0.6386138613861386,0.3613861386138614,516,292,4,8
0.64,3,820,0.6926829268292682,0.023809523809523808,0.5,0.045454545454545456,0.6955445544554455,0.30445544554455445,562,246,6,6
0.64,4,820,0.7182926829268292,0.0,0.0,0.0,0.7289603960396039,0.27103960396039606,589,219,12,0
0.64,5,820,0.7524390243902439,0.0,0.0,0.0,0.7636138613861386,0.23638613861386137,617,191,12,0
