threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.5,1,665,0.38646616541353385,0.014705882352941176,0.5,0.02857142857142857,0.38437978560490044,0.6156202143950995,251,402,6,6
0.5,2,665,0.4255639097744361,0.013157894736842105,0.4166666666666667,0.025510204081632654,0.42572741194486985,0.5742725880551302,278,375,7,5
0.5,3,665,0.47368421052631576,0.00872093023255814,0.25,0.016853932584269662,0.4777947932618683,0.5222052067381318,312,341,9,3
0.5,4,665,0.5097744360902255,0.0,0.0,0.0,0.5191424196018377,0.48085758039816234,339,314,12,0
0.5,5,665,0.5398496240601504,0.0,0.0,0.0,0.5497702909647779,0.450229709035222,359,294,12,0
0.5,8,665,0.5939849624060151,0.0,0.0,0.0,0.6049004594180705,0.39509954058192953,395,258,12,0
0.5,10,665,0.606015037593985,0.0,0.0,0.0,0.6171516079632465,0.38284839203675347,403,250,12,0
0.55,1,665,0.49774436090225566,0.012121212121212121,0.3333333333333333,0.023391812865497075,0.5007656967840735,0.4992343032159265,327,326,8,4
0.55,2,665,0.5413533834586466,0.010033444816053512,0.25,0.01929260450160772,0.5467075038284839,0.45329249617151607,357,296,9,3
0.55,3,665,0.5774436090225564,0.01090909090909091,0.25,0.020905923344947737,0.5834609494640123,0.4165390505359878,381,272,9,3
0.55,4,665,0.6045112781954888,0.0,0.0,0.0,0.6156202143950995,0.38437978560490044,402,251,12,0
0.55,5,665,0.6225563909774436,0.0,0.0,0.0,0.6339969372128637,0.3660030627871363,414,239,12,0
0.55,8,665,0.6796992481203008,0.0,0.0,0.0,0.6921898928024502,0.30781010719754975,452,201,12,0
0.55,10,665,0.706766917293233,0.0,0.0,0.0,0.7197549770290965,0.28024502297090353,470,183,12,0
0.6,1,665,0.5984962406015037,0.0038910505836575876,0.08333333333333333,0.007434944237918215,0.6079632465543645,0.39203675344563554,397,256,11,1
0.6,2,665,0.6466165413533834,0.0,0.0,0.0,0.6584992343032159,0.34150076569678406,430,223,12,0
0.6,3,665,0.6857142857142857,0.0,0.0,0.0,0.6983154670750383,0.3016845329249617,456,197,12,0
0.6,4,665,0.6992481203007519,0.0,0.0,0.0,0.7120980091883614,0.2879019908116386,465,188,12,0
0.6,5,665,0.7353383458646616,0.0,0.0,0.0,0.7488514548238897,0.25114854517611024,489,164,12,0
0.6,8,665,0.8030075187969925,0.0,0.0,0.0,0.8177641653905053,0.18223583460949463,534,119,12,0
0.6,10,665,0.8165413533834587,0.0,0.0,0.0,0.8315467075038285,0.16845329249617153,543,110,12,0
0.65,1,665,0.7082706766917293,0.0,0.0,0.0,0.7212863705972435,0.2787136294027565,471,182,12,0
0.65,2,665,0.7533834586466165,0.0,0.0,0.0,0.7672281776416539,0.2327718223583461,501,152,12,0
0.65,3,665,0.7984962406015037,0.0,0.0,0.0,0.8131699846860643,0.18683001531393567,531,122,12,0
0.65,4,665,0.8120300751879699,0.0,0.0,0.0,0.8269525267993875,0.17304747320061256,540,113,12,0
0.65,5,665,0.8360902255639098,0.0,0.0,0.0,0.8514548238897397,0.14854517611026033,556,97,12,0
0.65,8,665,0.9082706766917293,0.0,0.0,0.0,0.9249617151607963,0.07503828483920368,604,49,12,0
0.65,10,665,0.9323308270676691,0.0,0.0,0.0,0.9494640122511485,0.05053598774885146,620,33,12,0
0.7,1,665,0.8345864661654135,0.0,0.0,0.0,0.8499234303215927,0.15007656967840735,555,98,12,0
0.7,2,665,0.8751879699248121,0.0,0.0,0.0,0.891271056661562,0.10872894333843798,582,71,12,0
0.7,3,665,0.9263157894736842,0.0,0.0,0.0,0.9433384379785605,0.05666156202143951,616,37,12,0
0.7,4,665,0.9443609022556391,0.0,0.0,0.0,0.9617151607963247,0.03828483920367534,628,25,12,0
0.7,5,665,0.9503759398496241,0.0,0.0,0.0,0.9678407350689127,0.03215926493108729,632,21,12,0
0.7,8,665,0.9578947368421052,0.0,0.0,0.0,0.9754977029096478,0.02450229709035222,637,16,12,0
0.7,10,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.75,1,665,0.9323308270676691,0.0,0.0,0.0,0.9494640122511485,0.05053598774885146,620,33,12,0
0.75,2,665,0.9699248120300752,0.0,0.0,0.0,0.9877488514548239,0.01225114854517611,645,8,12,0
0.75,3,665,0.9729323308270676,0.0,0.0,0.0,0.9908116385911179,0.009188361408882083,647,6,12,0
0.75,4,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.75,5,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.75,8,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.75,10,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.8,1,665,0.9774436090225563,0.0,0.0,0.0,0.9954058192955589,0.004594180704441042,650,3,12,0
0.8,2,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.8,3,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.8,4,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.8,5,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.8,8,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.8,10,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.85,1,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.85,2,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.85,3,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.85,4,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.85,5,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.85,8,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.85,10,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.9,1,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.9,2,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.9,3,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
0.9,4,665,0.9819548872180451,0.0,0.0,0.0,1.0,0.0,653,0,12,0
