threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.3,820,0.020731707317073172,0.014723926380368098,1.0,0.02902055622732769,0.006188118811881188,0.9938118811881188,5,803,0,12
0.35,820,0.041463414634146344,0.015037593984962405,1.0,0.02962962962962963,0.027227722772277228,0.9727722772277227,22,786,0,12
0.4,820,0.09634146341463415,0.01593625498007968,1.0,0.03137254901960784,0.08292079207920793,0.9170792079207921,67,741,0,12
0.45,820,0.14146341463414633,0.01675977653631285,1.0,0.03296703296703297,0.12871287128712872,0.8712871287128713,104,704,0,12
0.5,820,0.23414634146341465,0.01875,1.0,0.03680981595092025,0.22277227722772278,0.7772277227722773,180,628,0,12
0.55,820,0.3402439024390244,0.019963702359346643,0.9166666666666666,0.03907637655417407,0.3316831683168317,0.6683168316831684,268,540,1,11
0.6,820,0.46219512195121953,0.020134228187919462,0.75,0.0392156862745098,0.45792079207920794,0.5420792079207921,370,438,3,9
0.65,820,0.6060975609756097,0.024464831804281346,0.6666666666666666,0.0471976401179941,0.6051980198019802,0.3948019801980198,489,319,4,8
0.7,820,0.8146341463414634,0.013888888888888888,0.16666666666666666,0.02564102564102564,0.8242574257425742,0.17574257425742573,666,142,10,2
0.75,820,0.9658536585365853,0.0,0.0,0.0,0.9801980198019802,0.019801980198019802,792,16,12,0
0.8,820,0.9817073170731707,0.0,0.0,0.0,0.9962871287128713,0.0037128712871287127,805,3,12,0
0.85,820,0.9853658536585366,0.0,0.0,0.0,1.0,0.0,808,0,12,0
0.9,820,0.9853658536585366,0.0,0.0,0.0,1.0,0.0,808,0,12,0
