threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.3,820,0.375609756097561,0.022900763358778626,1.0,0.04477611940298507,0.36633663366336633,0.6336633663366337,296,512,0,12
0.35,820,0.4695121951219512,0.024719101123595506,0.9166666666666666,0.04814004376367615,0.4628712871287129,0.5371287128712872,374,434,1,11
0.4,820,0.5463414634146342,0.01871657754010695,0.5833333333333334,0.03626943005181347,0.5457920792079208,0.4542079207920792,441,367,5,7
0.45,820,0.6231707317073171,0.016286644951140065,0.4166666666666667,0.03134796238244514,0.6262376237623762,0.37376237623762376,506,302,7,5
0.5,820,0.6951219512195121,0.016260162601626018,0.3333333333333333,0.031007751937984496,0.7004950495049505,0.2995049504950495,566,242,8,4
0.55,820,0.7573170731707317,0.005291005291005291,0.08333333333333333,0.009950248756218905,0.7673267326732673,0.23267326732673269,620,188,11,1
0.6,820,0.8109756097560976,0.0,0.0,0.0,0.823019801980198,0.17698019801980197,665,143,12,0
0.65,820,0.8536585365853658,0.0,0.0,0.0,0.8663366336633663,0.13366336633663367,700,108,12,0
0.7,820,0.8963414634146342,0.0,0.0,0.0,0.9096534653465347,0.09034653465346534,735,73,12,0
0.75,820,0.9280487804878049,0.0,0.0,0.0,0.9418316831683168,0.05816831683168317,761,47,12,0
0.8,820,0.9585365853658536,0.0,0.0,0.0,0.9727722772277227,0.027227722772277228,786,22,12,0
0.85,820,0.9792682926829268,0.0,0.0,0.0,0.9938118811881188,0.006188118811881188,803,5,12,0
0.9,820,0.9853658536585366,0.0,0.0,0.0,1.0,0.0,808,0,12,0
