threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.6,820,0.46219512195121953,0.020134228187919462,0.75,0.0392156862745098,0.45792079207920794,0.5420792079207921,370,438,3,9
0.61,820,0.4865853658536585,0.02107728337236534,0.75,0.04100227790432802,0.48267326732673266,0.5173267326732673,390,418,3,9
0.62,820,0.5109756097560976,0.019753086419753086,0.6666666666666666,0.03836930455635491,0.5086633663366337,0.49133663366336633,411,397,4,8
0.63,820,0.5365853658536586,0.020833333333333332,0.6666666666666666,0.04040404040404041,0.5346534653465347,0.46534653465346537,432,376,4,8
0.64,820,0.574390243902439,0.0226628895184136,0.6666666666666666,0.043835616438356165,0.573019801980198,0.42698019801980197,463,345,4,8
0.65,820,0.6060975609756097,0.024464831804281346,0.6666666666666666,0.0471976401179941,0.6051980198019802,0.3948019801980198,489,319,4,8
0.66,820,0.6365853658536585,0.023333333333333334,0.5833333333333334,0.04487179487179487,0.6373762376237624,0.3626237623762376,515,293,5,7
0.67,820,0.6707317073170732,0.018656716417910446,0.4166666666666667,0.03571428571428571,0.6745049504950495,0.3254950495049505,545,263,7,5
0.68,820,0.7146341463414634,0.013157894736842105,0.25,0.025,0.7215346534653465,0.2784653465346535,583,225,9,3
0.69,820,0.7634146341463415,0.015957446808510637,0.25,0.03,0.7710396039603961,0.22896039603960397,623,185,9,3
0.7,820,0.8146341463414634,0.013888888888888888,0.16666666666666666,0.02564102564102564,0.8242574257425742,0.17574257425742573,666,142,10,2
0.71,820,0.8475609756097561,0.017094017094017096,0.16666666666666666,0.031007751937984496,0.8576732673267327,0.14232673267326731,693,115,10,2
0.72,820,0.8902439024390244,0.0125,0.08333333333333333,0.021739130434782608,0.9022277227722773,0.09777227722772278,729,79,11,1
