threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.3,820,0.75,0.01990049751243781,0.3333333333333333,0.03755868544600939,0.7561881188118812,0.2438118811881188,611,197,8,4
0.35,820,0.7695121951219512,0.021621621621621623,0.3333333333333333,0.04060913705583756,0.775990099009901,0.22400990099009901,627,181,8,4
0.4,820,0.776829268292683,0.01694915254237288,0.25,0.031746031746031744,0.7846534653465347,0.21534653465346534,634,174,9,3
0.45,820,0.7780487804878049,0.005813953488372093,0.08333333333333333,0.010869565217391304,0.7883663366336634,0.21163366336633663,637,171,11,1
0.5,820,0.7914634146341464,0.006211180124223602,0.08333333333333333,0.011560693641618497,0.801980198019802,0.19801980198019803,648,160,11,1
0.55,820,0.8,0.006493506493506494,0.08333333333333333,0.012048192771084338,0.8106435643564357,0.18935643564356436,655,153,11,1
0.6,820,0.8097560975609757,0.00684931506849315,0.08333333333333333,0.012658227848101266,0.8205445544554455,0.17945544554455445,663,145,11,1
0.65,820,0.8158536585365853,0.0,0.0,0.0,0.8279702970297029,0.17202970297029702,669,139,12,0
0.7,820,0.8219512195121951,0.0,0.0,0.0,0.8341584158415841,0.16584158415841585,674,134,12,0
0.75,820,0.8304878048780487,0.0,0.0,0.0,0.8428217821782178,0.15717821782178218,681,127,12,0
0.8,820,0.8390243902439024,0.0,0.0,0.0,0.8514851485148515,0.1485148514851485,688,120,12,0
0.85,820,0.8451219512195122,0.0,0.0,0.0,0.8576732673267327,0.14232673267326731,693,115,12,0
0.9,820,0.8597560975609756,0.0,0.0,0.0,0.8725247524752475,0.12747524752475248,705,103,12,0
