enter_threshold,exit_threshold,enter_run_windows,exit_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.65,0.4,1,1,388,0.30927835051546393,0.04285714285714286,1.0,0.0821917808219178,0.2872340425531915,0.7127659574468085,108,268,0,12,same_patient,4
0.65,0.4,1,2,388,0.22164948453608246,0.03821656050955414,1.0,0.0736196319018405,0.19680851063829788,0.8031914893617021,74,302,0,12,same_patient,4
0.65,0.4,1,3,388,0.08505154639175258,0.0326975476839237,1.0,0.0633245382585752,0.05585106382978723,0.9441489361702128,21,355,0,12,same_patient,4
0.65,0.4,1,4,388,0.030927835051546393,0.030927835051546393,1.0,0.06,0.0,1.0,0,376,0,12,same_patient,4
0.65,0.4,1,5,388,0.030927835051546393,0.030927835051546393,1.0,0.06,0.0,1.0,0,376,0,12,same_patient,4
0.65,0.4,2,1,388,0.3917525773195876,0.04838709677419355,1.0,0.09230769230769231,0.3723404255319149,0.6276595744680851,140,236,0,12,same_patient,4
0.65,0.4,2,2,388,0.32216494845360827,0.04363636363636364,1.0,0.08362369337979095,0.300531914893617,0.699468085106383,113,263,0,12,same_patient,4
0.65,0.4,2,3,388,0.11082474226804123,0.03361344537815126,1.0,0.06504065040650407,0.08244680851063829,0.9175531914893617,31,345,0,12,same_patient,4
0.65,0.4,2,4,388,0.030927835051546393,0.030927835051546393,1.0,0.06,0.0,1.0,0,376,0,12,same_patient,4
0.65,0.4,2,5,388,0.030927835051546393,0.030927835051546393,1.0,0.06,0.0,1.0,0,376,0,12,same_patient,4
0.65,0.4,3,1,388,0.4175257731958763,0.05042016806722689,1.0,0.096,0.39893617021276595,0.601063829787234,150,226,0,12,same_patient,4
0.65,0.4,3,2,388,0.39948453608247425,0.04897959183673469,1.0,0.0933852140077821,0.3803191489361702,0.6196808510638298,143,233,0,12,same_patient,4
0.65,0.4,3,3,388,0.34536082474226804,0.045112781954887216,1.0,0.08633093525179857,0.324468085106383,0.675531914893617,122,254,0,12,same_patient,4
0.65,0.4,3,4,388,0.030927835051546393,0.030927835051546393,1.0,0.06,0.0,1.0,0,376,0,12,same_patient,4
0.65,0.4,3,5,388,0.030927835051546393,0.030927835051546393,1.0,0.06,0.0,1.0,0,376,0,12,same_patient,4
0.65,0.4,4,1,388,0.39948453608247425,0.0,0.0,0.0,0.4122340425531915,0.5877659574468085,155,221,12,0,same_patient,4
