enter_threshold,exit_threshold,enter_run_windows,exit_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.65,0.4,1,1,432,0.30092592592592593,0.0,0.0,0.0,0.30092592592592593,0.6990740740740741,130,302,0,0,new_patient,1
0.65,0.4,1,2,432,0.22453703703703703,0.0,0.0,0.0,0.22453703703703703,0.7754629629629629,97,335,0,0,new_patient,1
0.65,0.4,1,3,432,0.125,0.0,0.0,0.0,0.125,0.875,54,378,0,0,new_patient,1
0.65,0.4,1,4,432,0.125,0.0,0.0,0.0,0.125,0.875,54,378,0,0,new_patient,1
0.65,0.4,1,5,432,0.0,0.0,0.0,0.0,0.0,1.0,0,432,0,0,new_patient,1
0.65,0.4,2,1,432,0.4027777777777778,0.0,0.0,0.0,0.4027777777777778,0.5972222222222222,174,258,0,0,new_patient,1
0.65,0.4,2,2,432,0.27546296296296297,0.0,0.0,0.0,0.27546296296296297,0.7245370370370371,119,313,0,0,new_patient,1
0.65,0.4,2,3,432,0.27546296296296297,0.0,0.0,0.0,0.27546296296296297,0.7245370370370371,119,313,0,0,new_patient,1
0.65,0.4,2,4,432,0.27546296296296297,0.0,0.0,0.0,0.27546296296296297,0.7245370370370371,119,313,0,0,new_patient,1
0.65,0.4,2,5,432,0.09259259259259259,0.0,0.0,0.0,0.09259259259259259,0.9074074074074074,40,392,0,0,new_patient,1
0.65,0.4,3,1,432,0.5370370370370371,0.0,0.0,0.0,0.5370370370370371,0.46296296296296297,232,200,0,0,new_patient,1
0.65,0.4,3,2,432,0.34953703703703703,0.0,0.0,0.0,0.34953703703703703,0.6504629629629629,151,281,0,0,new_patient,1
0.65,0.4,3,3,432,0.34953703703703703,0.0,0.0,0.0,0.34953703703703703,0.6504629629629629,151,281,0,0,new_patient,1
0.65,0.4,3,4,432,0.34953703703703703,0.0,0.0,0.0,0.34953703703703703,0.6504629629629629,151,281,0,0,new_patient,1
0.65,0.4,3,5,432,0.12268518518518519,0.0,0.0,0.0,0.12268518518518519,0.8773148148148148,53,379,0,0,new_patient,1
0.65,0.4,4,1,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.4,4,2,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.4,4,3,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.4,4,4,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.4,4,5,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.45,1,1,432,0.31712962962962965,0.0,0.0,0.0,0.31712962962962965,0.6828703703703703,137,295,0,0,new_patient,1
0.65,0.45,1,2,432,0.2523148148148148,0.0,0.0,0.0,0.2523148148148148,0.7476851851851852,109,323,0,0,new_patient,1
0.65,0.45,1,3,432,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,96,336,0,0,new_patient,1
0.65,0.45,1,4,432,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,96,336,0,0,new_patient,1
0.65,0.45,1,5,432,0.12962962962962962,0.0,0.0,0.0,0.12962962962962962,0.8703703703703703,56,376,0,0,new_patient,1
0.65,0.45,2,1,432,0.41435185185185186,0.0,0.0,0.0,0.41435185185185186,0.5856481481481481,179,253,0,0,new_patient,1
0.65,0.45,2,2,432,0.30092592592592593,0.0,0.0,0.0,0.30092592592592593,0.6990740740740741,130,302,0,0,new_patient,1
0.65,0.45,2,3,432,0.2777777777777778,0.0,0.0,0.0,0.2777777777777778,0.7222222222222222,120,312,0,0,new_patient,1
0.65,0.45,2,4,432,0.2777777777777778,0.0,0.0,0.0,0.2777777777777778,0.7222222222222222,120,312,0,0,new_patient,1
0.65,0.45,2,5,432,0.2777777777777778,0.0,0.0,0.0,0.2777777777777778,0.7222222222222222,120,312,0,0,new_patient,1
0.65,0.45,3,1,432,0.5370370370370371,0.0,0.0,0.0,0.5370370370370371,0.46296296296296297,232,200,0,0,new_patient,1
0.65,0.45,3,2,432,0.3819444444444444,0.0,0.0,0.0,0.3819444444444444,0.6180555555555556,165,267,0,0,new_patient,1
0.65,0.45,3,3,432,0.35185185185185186,0.0,0.0,0.0,0.35185185185185186,0.6481481481481481,152,280,0,0,new_patient,1
0.65,0.45,3,4,432,0.35185185185185186,0.0,0.0,0.0,0.35185185185185186,0.6481481481481481,152,280,0,0,new_patient,1
0.65,0.45,3,5,432,0.35185185185185186,0.0,0.0,0.0,0.35185185185185186,0.6481481481481481,152,280,0,0,new_patient,1
0.65,0.45,4,1,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.45,4,2,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.45,4,3,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.45,4,4,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.45,4,5,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.5,1,1,432,0.36574074074074076,0.0,0.0,0.0,0.36574074074074076,0.6342592592592593,158,274,0,0,new_patient,1
0.65,0.5,1,2,432,0.3263888888888889,0.0,0.0,0.0,0.3263888888888889,0.6736111111111112,141,291,0,0,new_patient,1
0.65,0.5,1,3,432,0.2777777777777778,0.0,0.0,0.0,0.2777777777777778,0.7222222222222222,120,312,0,0,new_patient,1
0.65,0.5,1,4,432,0.24537037037037038,0.0,0.0,0.0,0.24537037037037038,0.7546296296296297,106,326,0,0,new_patient,1
0.65,0.5,1,5,432,0.1736111111111111,0.0,0.0,0.0,0.1736111111111111,0.8263888888888888,75,357,0,0,new_patient,1
0.65,0.5,2,1,432,0.4375,0.0,0.0,0.0,0.4375,0.5625,189,243,0,0,new_patient,1
0.65,0.5,2,2,432,0.4212962962962963,0.0,0.0,0.0,0.4212962962962963,0.5787037037037037,182,250,0,0,new_patient,1
0.65,0.5,2,3,432,0.3263888888888889,0.0,0.0,0.0,0.3263888888888889,0.6736111111111112,141,291,0,0,new_patient,1
0.65,0.5,2,4,432,0.30092592592592593,0.0,0.0,0.0,0.30092592592592593,0.6990740740740741,130,302,0,0,new_patient,1
0.65,0.5,2,5,432,0.30092592592592593,0.0,0.0,0.0,0.30092592592592593,0.6990740740740741,130,302,0,0,new_patient,1
0.65,0.5,3,1,432,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,240,192,0,0,new_patient,1
0.65,0.5,3,2,432,0.5370370370370371,0.0,0.0,0.0,0.5370370370370371,0.46296296296296297,232,200,0,0,new_patient,1
0.65,0.5,3,3,432,0.3819444444444444,0.0,0.0,0.0,0.3819444444444444,0.6180555555555556,165,267,0,0,new_patient,1
0.65,0.5,3,4,432,0.3819444444444444,0.0,0.0,0.0,0.3819444444444444,0.6180555555555556,165,267,0,0,new_patient,1
0.65,0.5,3,5,432,0.3819444444444444,0.0,0.0,0.0,0.3819444444444444,0.6180555555555556,165,267,0,0,new_patient,1
0.65,0.5,4,1,432,0.6134259259259259,0.0,0.0,0.0,0.6134259259259259,0.38657407407407407,265,167,0,0,new_patient,1
0.65,0.5,4,2,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.5,4,3,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.5,4,4,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
0.65,0.5,4,5,432,0.6087962962962963,0.0,0.0,0.0,0.6087962962962963,0.3912037037037037,263,169,0,0,new_patient,1
