threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.65,2,388,0.6365979381443299,0.05517241379310345,0.6666666666666666,0.10191082802547771,0.6356382978723404,0.36436170212765956,239,137,4,8,same_patient,4
0.65,3,388,0.6726804123711341,0.047244094488188976,0.5,0.08633093525179857,0.6781914893617021,0.32180851063829785,255,121,6,6,same_patient,4
0.65,4,388,0.7036082474226805,0.0,0.0,0.0,0.726063829787234,0.27393617021276595,273,103,12,0,same_patient,4
0.65,5,388,0.7551546391752577,0.0,0.0,0.0,0.7792553191489362,0.22074468085106383,293,83,12,0,same_patient,4
0.65,6,388,0.7680412371134021,0.0,0.0,0.0,0.7925531914893617,0.2074468085106383,298,78,12,0,same_patient,4
0.65,7,388,0.7835051546391752,0.0,0.0,0.0,0.8085106382978723,0.19148936170212766,304,72,12,0,same_patient,4
0.65,8,388,0.8376288659793815,0.0,0.0,0.0,0.8643617021276596,0.1356382978723404,325,51,12,0,same_patient,4
0.65,9,388,0.8788659793814433,0.0,0.0,0.0,0.9069148936170213,0.09308510638297872,341,35,12,0,same_patient,4
0.65,10,388,0.8788659793814433,0.0,0.0,0.0,0.9069148936170213,0.09308510638297872,341,35,12,0,same_patient,4
0.65,12,388,0.9329896907216495,0.0,0.0,0.0,0.9627659574468085,0.03723404255319149,362,14,12,0,same_patient,4
0.65,15,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.65,20,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,2,388,0.8530927835051546,0.0,0.0,0.0,0.8803191489361702,0.1196808510638298,331,45,12,0,same_patient,4
0.7,3,388,0.9097938144329897,0.0,0.0,0.0,0.9388297872340425,0.061170212765957445,353,23,12,0,same_patient,4
0.7,4,388,0.9484536082474226,0.0,0.0,0.0,0.9787234042553191,0.02127659574468085,368,8,12,0,same_patient,4
0.7,5,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,6,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,7,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,8,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,9,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,10,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,12,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,15,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.7,20,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,2,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,3,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,4,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,5,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,6,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,7,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,8,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,9,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,10,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,12,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,15,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.75,20,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.8,2,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.8,3,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.8,4,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.8,5,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.8,6,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.8,7,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.8,8,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
0.8,9,388,0.9690721649484536,0.0,0.0,0.0,1.0,0.0,376,0,12,0,same_patient,4
