threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.65,2,432,0.6990740740740741,0.0,0.0,0.0,0.6990740740740741,0.30092592592592593,302,130,0,0,new_patient,1
0.65,3,432,0.7638888888888888,0.0,0.0,0.0,0.7638888888888888,0.2361111111111111,330,102,0,0,new_patient,1
0.65,4,432,0.7916666666666666,0.0,0.0,0.0,0.7916666666666666,0.20833333333333334,342,90,0,0,new_patient,1
0.65,5,432,0.8101851851851852,0.0,0.0,0.0,0.8101851851851852,0.18981481481481483,350,82,0,0,new_patient,1
0.65,6,432,0.8564814814814815,0.0,0.0,0.0,0.8564814814814815,0.14351851851851852,370,62,0,0,new_patient,1
0.65,7,432,0.8981481481481481,0.0,0.0,0.0,0.8981481481481481,0.10185185185185185,388,44,0,0,new_patient,1
0.65,8,432,0.8981481481481481,0.0,0.0,0.0,0.8981481481481481,0.10185185185185185,388,44,0,0,new_patient,1
0.65,9,432,0.8981481481481481,0.0,0.0,0.0,0.8981481481481481,0.10185185185185185,388,44,0,0,new_patient,1
0.65,10,432,0.9398148148148148,0.0,0.0,0.0,0.9398148148148148,0.06018518518518518,406,26,0,0,new_patient,1
0.65,12,432,0.9398148148148148,0.0,0.0,0.0,0.9398148148148148,0.06018518518518518,406,26,0,0,new_patient,1
0.65,15,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.65,20,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,2,432,0.9166666666666666,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,396,36,0,0,new_patient,1
0.7,3,432,0.9675925925925926,0.0,0.0,0.0,0.9675925925925926,0.032407407407407406,418,14,0,0,new_patient,1
0.7,4,432,0.9814814814814815,0.0,0.0,0.0,0.9814814814814815,0.018518518518518517,424,8,0,0,new_patient,1
0.7,5,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,6,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,7,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,8,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,9,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,10,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,12,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,15,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.7,20,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,2,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,3,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,4,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,5,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,6,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,7,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,8,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,9,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,10,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,12,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,15,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.75,20,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,2,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,3,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,4,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,5,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,6,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,7,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,8,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,9,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,10,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,12,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,15,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.8,20,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,2,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,3,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,4,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,5,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,6,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,7,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,8,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,9,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,10,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,12,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,15,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.85,20,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.9,2,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.9,3,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.9,4,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.9,5,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.9,6,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
0.9,7,432,1.0,0.0,0.0,0.0,1.0,0.0,432,0,0,0,new_patient,1
