transformer_threshold,rf_threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
0.43,0.5,1,424,0.42452830188679247,0.0,0.0,0.0,180,244,0,0
0.43,0.5,2,424,0.4363207547169811,0.0,0.0,0.0,185,239,0,0
0.43,0.5,3,424,0.45047169811320753,0.0,0.0,0.0,191,233,0,0
0.43,0.5,4,424,0.45754716981132076,0.0,0.0,0.0,194,230,0,0
0.43,0.5,5,424,0.45754716981132076,0.0,0.0,0.0,194,230,0,0
0.43,0.5,8,424,0.5212264150943396,0.0,0.0,0.0,221,203,0,0
0.43,0.5,10,424,0.5424528301886793,0.0,0.0,0.0,230,194,0,0
0.43,0.6,1,424,0.5495283018867925,0.0,0.0,0.0,233,191,0,0
0.43,0.6,2,424,0.5919811320754716,0.0,0.0,0.0,251,173,0,0
0.43,0.6,3,424,0.6391509433962265,0.0,0.0,0.0,271,153,0,0
0.43,0.6,4,424,0.6462264150943396,0.0,0.0,0.0,274,150,0,0
0.43,0.6,5,424,0.7028301886792453,0.0,0.0,0.0,298,126,0,0
0.43,0.6,8,424,0.7948113207547169,0.0,0.0,0.0,337,87,0,0
0.43,0.6,10,424,0.8349056603773585,0.0,0.0,0.0,354,70,0,0
0.43,0.65,1,424,0.660377358490566,0.0,0.0,0.0,280,144,0,0
0.43,0.65,2,424,0.7075471698113207,0.0,0.0,0.0,300,124,0,0
0.43,0.65,3,424,0.7594339622641509,0.0,0.0,0.0,322,102,0,0
0.43,0.65,4,424,0.7877358490566038,0.0,0.0,0.0,334,90,0,0
0.43,0.65,5,424,0.8066037735849056,0.0,0.0,0.0,342,82,0,0
0.43,0.65,8,424,0.8962264150943396,0.0,0.0,0.0,380,44,0,0
0.43,0.65,10,424,0.9386792452830188,0.0,0.0,0.0,398,26,0,0
0.43,0.7,1,424,0.8655660377358491,0.0,0.0,0.0,367,57,0,0
0.43,0.7,2,424,0.9150943396226415,0.0,0.0,0.0,388,36,0,0
0.43,0.7,3,424,0.9669811320754716,0.0,0.0,0.0,410,14,0,0
0.43,0.7,4,424,0.9811320754716981,0.0,0.0,0.0,416,8,0,0
0.43,0.7,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.7,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.7,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.75,1,424,0.9976415094339622,0.0,0.0,0.0,423,1,0,0
0.43,0.75,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.75,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.75,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.75,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.75,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.75,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.8,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.8,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.8,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.8,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.8,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.8,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.8,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.85,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.85,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.85,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.85,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.85,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.85,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.85,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.9,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.9,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.9,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.9,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.9,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.9,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.43,0.9,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.5,0.5,1,424,0.43160377358490565,0.0,0.0,0.0,183,241,0,0
0.5,0.5,2,424,0.4410377358490566,0.0,0.0,0.0,187,237,0,0
