transformer_threshold,rf_threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
0.43,0.5,1,356,0.4157303370786517,0.018867924528301886,1.0,0.037037037037037035,144,208,0,4
0.43,0.5,2,356,0.43820224719101125,0.0196078431372549,1.0,0.038461538461538464,152,200,0,4
0.43,0.5,3,356,0.4550561797752809,0.020202020202020204,1.0,0.039603960396039604,158,194,0,4
0.43,0.5,4,356,0.46348314606741575,0.020512820512820513,1.0,0.04020100502512563,161,191,0,4
0.43,0.5,5,356,0.46348314606741575,0.020512820512820513,1.0,0.04020100502512563,161,191,0,4
0.43,0.5,8,356,0.4803370786516854,0.021164021164021163,1.0,0.04145077720207254,167,185,0,4
0.43,0.5,10,356,0.5308988764044944,0.023391812865497075,1.0,0.045714285714285714,185,167,0,4
0.43,0.6,1,356,0.5196629213483146,0.022857142857142857,1.0,0.0446927374301676,181,171,0,4
0.43,0.6,2,356,0.5337078651685393,0.023529411764705882,1.0,0.04597701149425287,186,166,0,4
0.43,0.6,3,356,0.5674157303370787,0.02531645569620253,1.0,0.04938271604938271,198,154,0,4
0.43,0.6,4,356,0.5758426966292135,0.025806451612903226,1.0,0.050314465408805034,201,151,0,4
0.43,0.6,5,356,0.5870786516853933,0.0,0.0,0.0,209,143,4,0
0.43,0.6,8,356,0.7275280898876404,0.0,0.0,0.0,259,93,4,0
0.43,0.6,10,356,0.7752808988764045,0.0,0.0,0.0,276,76,4,0
0.43,0.65,1,356,0.6235955056179775,0.022058823529411766,0.75,0.04285714285714286,219,133,1,3
0.43,0.65,2,356,0.6713483146067416,0.025210084033613446,0.75,0.04878048780487805,236,116,1,3
0.43,0.65,3,356,0.7106741573033708,0.02857142857142857,0.75,0.05504587155963303,250,102,1,3
0.43,0.65,4,356,0.7528089887640449,0.0,0.0,0.0,268,84,4,0
0.43,0.65,5,356,0.8089887640449438,0.0,0.0,0.0,288,64,4,0
0.43,0.65,8,356,0.9353932584269663,0.0,0.0,0.0,333,19,4,0
0.43,0.65,10,356,0.9578651685393258,0.0,0.0,0.0,341,11,4,0
0.43,0.7,1,356,0.800561797752809,0.014492753623188406,0.25,0.0273972602739726,284,68,3,1
0.43,0.7,2,356,0.8848314606741573,0.0,0.0,0.0,315,37,4,0
0.43,0.7,3,356,0.9353932584269663,0.0,0.0,0.0,333,19,4,0
0.43,0.7,4,356,0.9775280898876404,0.0,0.0,0.0,348,4,4,0
0.43,0.7,5,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.7,8,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.7,10,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.75,1,356,0.9466292134831461,0.0,0.0,0.0,337,15,4,0
0.43,0.75,2,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.75,3,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.75,4,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.75,5,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.75,8,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.75,10,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.8,1,356,0.9803370786516854,0.0,0.0,0.0,349,3,4,0
0.43,0.8,2,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.8,3,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.8,4,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.8,5,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.8,8,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.8,10,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.85,1,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.85,2,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
0.43,0.85,3,356,0.9887640449438202,0.0,0.0,0.0,352,0,4,0
