threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.4,1,1114,0.48114901256732495,0.34534534534534533,0.6182795698924731,0.44315992292870904,0.4123989218328841,0.5876010781671159,306,436,142,230
0.4,2,1114,0.49730700179533216,0.3474025974025974,0.5752688172043011,0.4331983805668016,0.4582210242587601,0.5417789757412399,340,402,158,214
0.4,3,1114,0.5224416517055656,0.3611111111111111,0.5591397849462365,0.4388185654008439,0.5040431266846361,0.49595687331536387,374,368,164,208
0.4,4,1114,0.5305206463195691,0.35940409683426444,0.5188172043010753,0.42464246424642466,0.5363881401617251,0.4636118598382749,398,344,179,193
0.4,5,1114,0.5341113105924596,0.36,0.5080645161290323,0.4214046822742475,0.5471698113207547,0.4528301886792453,406,336,183,189
0.43,1,1114,0.5170556552962298,0.3597972972972973,0.5725806451612904,0.44190871369294604,0.48921832884097033,0.5107816711590296,363,379,159,213
0.43,2,1114,0.5403949730700179,0.36891385767790263,0.5295698924731183,0.434878587196468,0.545822102425876,0.45417789757412397,405,337,175,197
0.43,3,1114,0.5565529622980251,0.37896825396825395,0.5134408602150538,0.4360730593607306,0.578167115902965,0.42183288409703507,429,313,181,191
0.43,4,1114,0.5754039497307002,0.3899782135076253,0.48118279569892475,0.43080625752105894,0.6226415094339622,0.37735849056603776,462,280,193,179
0.43,5,1114,0.5825852782764811,0.39503386004514673,0.47043010752688175,0.4294478527607362,0.6388140161725068,0.3611859838274933,474,268,197,175
0.45,1,1114,0.5296229802513465,0.3608058608058608,0.5295698924731183,0.42919389978213507,0.5296495956873315,0.47035040431266845,393,349,175,197
0.45,2,1114,0.5556552962298025,0.3737166324435318,0.489247311827957,0.42374854481955765,0.5889487870619946,0.4110512129380054,437,305,190,182
0.45,3,1114,0.566427289048474,0.3790849673202614,0.46774193548387094,0.4187725631768953,0.6159029649595688,0.38409703504043125,457,285,198,174
0.45,4,1114,0.5825852782764811,0.38848920863309355,0.43548387096774194,0.41064638783269963,0.6563342318059299,0.3436657681940701,487,255,210,162
0.45,5,1114,0.5897666068222621,0.3940149625935162,0.42473118279569894,0.4087968952134541,0.6725067385444744,0.3274932614555256,499,243,214,158
0.5,1,1114,0.566427289048474,0.37122969837587005,0.43010752688172044,0.398505603985056,0.6347708894878706,0.36522911051212936,471,271,212,160
0.5,2,1114,0.5861759425493717,0.3787465940054496,0.3736559139784946,0.3761840324763194,0.692722371967655,0.30727762803234504,514,228,233,139
0.5,3,1114,0.5897666068222621,0.3760932944606414,0.3467741935483871,0.36083916083916084,0.7115902964959568,0.2884097035040431,528,214,243,129
0.5,4,1114,0.5978456014362658,0.375,0.3064516129032258,0.33727810650887574,0.7439353099730458,0.2560646900269542,552,190,258,114
0.5,5,1114,0.5870736086175943,0.34057971014492755,0.25268817204301075,0.29012345679012347,0.7547169811320755,0.24528301886792453,560,182,278,94
0.55,1,1114,0.5861759425493717,0.36555891238670696,0.32526881720430106,0.3442389758179232,0.7169811320754716,0.2830188679245283,532,210,251,121
0.55,2,1114,0.59245960502693,0.35664335664335667,0.27419354838709675,0.3100303951367781,0.7520215633423181,0.24797843665768193,558,184,270,102
0.55,3,1114,0.5834829443447038,0.3230769230769231,0.22580645161290322,0.26582278481012656,0.7628032345013477,0.2371967654986523,566,176,288,84
0.55,4,1114,0.5888689407540395,0.3130434782608696,0.1935483870967742,0.23920265780730898,0.7870619946091644,0.21293800539083557,584,158,300,72
0.55,5,1114,0.578096947935368,0.27522935779816515,0.16129032258064516,0.2033898305084746,0.7870619946091644,0.21293800539083557,584,158,312,60
