threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.05,1114,0.3339317773788151,0.3339317773788151,1.0,0.5006729475100942,0.0,1.0,0,742,0,372
0.1,1114,0.34470377019748655,0.3360805860805861,0.9865591397849462,0.5013661202185792,0.022911051212938006,0.977088948787062,17,725,5,367
0.15,1114,0.3500897666068223,0.3320610687022901,0.9354838709677419,0.49014084507042255,0.05660377358490566,0.9433962264150944,42,700,24,348
0.2,1114,0.3590664272890485,0.33001988071570576,0.8924731182795699,0.4818577648766328,0.09164420485175202,0.9083557951482479,68,674,40,332
0.25,1114,0.36983842010771995,0.32371794871794873,0.8145161290322581,0.463302752293578,0.14690026954177898,0.8530997304582211,109,633,69,303
0.3,1114,0.4111310592459605,0.33095238095238094,0.7473118279569892,0.45874587458745875,0.24258760107816713,0.7574123989218329,180,562,94,278
0.35,1114,0.43447037701974867,0.33246753246753247,0.6881720430107527,0.44833625218914186,0.30727762803234504,0.692722371967655,228,514,116,256
0.4,1114,0.48114901256732495,0.34534534534534533,0.6182795698924731,0.44315992292870904,0.4123989218328841,0.5876010781671159,306,436,142,230
0.45,1114,0.5296229802513465,0.3608058608058608,0.5295698924731183,0.42919389978213507,0.5296495956873315,0.47035040431266845,393,349,175,197
0.5,1114,0.566427289048474,0.37122969837587005,0.43010752688172044,0.398505603985056,0.6347708894878706,0.36522911051212936,471,271,212,160
0.55,1114,0.5861759425493717,0.36555891238670696,0.32526881720430106,0.3442389758179232,0.7169811320754716,0.2830188679245283,532,210,251,121
0.6,1114,0.5969479353680431,0.3466135458167331,0.23387096774193547,0.27929373996789725,0.7789757412398922,0.2210242587601078,578,164,285,87
0.65,1114,0.6149012567324955,0.3389830508474576,0.16129032258064516,0.2185792349726776,0.8423180592991913,0.15768194070080863,625,117,312,60
0.7,1114,0.6472172351885098,0.40540540540540543,0.12096774193548387,0.18633540372670807,0.9110512129380054,0.0889487870619946,676,66,327,45
0.75,1114,0.6463195691202872,0.358974358974359,0.07526881720430108,0.12444444444444444,0.9326145552560647,0.0673854447439353,692,50,344,28
0.8,1114,0.6481149012567325,0.32142857142857145,0.04838709677419355,0.08411214953271028,0.9487870619946092,0.05121293800539083,704,38,354,18
0.85,1114,0.6490125673249552,0.14814814814814814,0.010752688172043012,0.020050125313283207,0.9690026954177897,0.03099730458221024,719,23,368,4
0.9,1114,0.6579892280071813,0.09090909090909091,0.002688172043010753,0.005221932114882507,0.9865229110512129,0.013477088948787063,732,10,371,1
