threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.3,780,0.6166666666666667,0.013201320132013201,1.0,0.026058631921824105,0.6146907216494846,0.3853092783505155,477,299,0,4
0.35,780,0.6256410256410256,0.013513513513513514,1.0,0.02666666666666667,0.6237113402061856,0.37628865979381443,484,292,0,4
0.4,780,0.6371794871794871,0.013937282229965157,1.0,0.027491408934707903,0.6353092783505154,0.3646907216494845,493,283,0,4
0.45,780,0.65,0.01444043321299639,1.0,0.028469750889679714,0.6481958762886598,0.35180412371134023,503,273,0,4
0.5,780,0.6564102564102564,0.014705882352941176,1.0,0.028985507246376812,0.654639175257732,0.34536082474226804,508,268,0,4
0.55,780,0.6743589743589744,0.015503875968992248,1.0,0.030534351145038167,0.6726804123711341,0.327319587628866,522,254,0,4
0.6,780,0.6846153846153846,0.016,1.0,0.031496062992125984,0.6829896907216495,0.3170103092783505,530,246,0,4
0.65,780,0.7025641025641025,0.01694915254237288,1.0,0.03333333333333333,0.7010309278350515,0.29896907216494845,544,232,0,4
0.7,780,0.7307692307692307,0.018691588785046728,1.0,0.03669724770642202,0.729381443298969,0.2706185567010309,566,210,0,4
0.75,780,0.7461538461538462,0.019801980198019802,1.0,0.038834951456310676,0.7448453608247423,0.2551546391752577,578,198,0,4
0.8,780,0.767948717948718,0.021621621621621623,1.0,0.042328042328042326,0.7667525773195877,0.23324742268041238,595,181,0,4
0.85,780,0.8025641025641026,0.02531645569620253,1.0,0.04938271604938271,0.8015463917525774,0.19845360824742267,622,154,0,4
0.9,780,0.841025641025641,0.03125,1.0,0.06060606060606061,0.8402061855670103,0.15979381443298968,652,124,0,4
