threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.05,1205,0.5178423236514523,0.4384057971014493,0.7578288100208769,0.5554705432287682,0.359504132231405,0.640495867768595,261,465,116,363
0.1,1205,0.5136929460580912,0.43403205918618987,0.7348643006263048,0.5457364341085271,0.3677685950413223,0.6322314049586777,267,459,127,352
0.15,1205,0.5203319502074689,0.4377358490566038,0.7265135699373695,0.5463108320251178,0.384297520661157,0.6157024793388429,279,447,131,348
0.2,1205,0.5244813278008299,0.43974358974358974,0.7160751565762005,0.5448768864177919,0.39807162534435264,0.6019283746556474,289,437,136,343
0.25,1205,0.5269709543568465,0.4409857328145266,0.7098121085594989,0.544,0.40633608815426997,0.59366391184573,295,431,139,340
0.3,1205,0.5294605809128631,0.442257217847769,0.7035490605427975,0.5431103948428686,0.41460055096418735,0.5853994490358126,301,425,142,337
0.35,1205,0.5302904564315353,0.4426877470355731,0.7014613778705637,0.5428109854604201,0.41735537190082644,0.5826446280991735,303,423,143,336
0.4,1205,0.5327800829875519,0.4442970822281167,0.6993736951983298,0.5433901054339011,0.4228650137741047,0.5771349862258953,307,419,144,335
0.45,1205,0.5360995850622406,0.44638069705093836,0.6951983298538622,0.5436734693877551,0.43112947658402206,0.568870523415978,313,413,146,333
0.5,1205,0.537759336099585,0.4470108695652174,0.6868475991649269,0.5415637860082304,0.4393939393939394,0.5606060606060606,319,407,150,329
0.55,1205,0.537759336099585,0.4465753424657534,0.6805845511482255,0.5392886683209264,0.44352617079889806,0.5564738292011019,322,404,153,326
0.6,1205,0.5394190871369294,0.44751381215469616,0.6764091858037579,0.5386533665835411,0.4490358126721763,0.5509641873278237,326,400,155,324
0.65,1205,0.5427385892116182,0.44972067039106145,0.6722338204592901,0.5389121338912134,0.4573002754820937,0.5426997245179064,332,394,157,322
0.7,1205,0.541908713692946,0.44837340876944837,0.6617954070981211,0.5345699831365935,0.4628099173553719,0.5371900826446281,336,390,162,317
0.75,1205,0.5435684647302904,0.44935805991440797,0.6576200417536534,0.5338983050847458,0.46831955922865015,0.5316804407713499,340,386,164,315
0.8,1205,0.5452282157676348,0.45021645021645024,0.651356993736952,0.5324232081911263,0.47520661157024796,0.5247933884297521,345,381,167,312
0.85,1205,0.5443983402489626,0.4489795918367347,0.6430062630480167,0.5287553648068669,0.4793388429752066,0.5206611570247934,348,378,171,308
0.9,1205,0.5493775933609959,0.45252225519287836,0.6367432150313153,0.5290546400693842,0.49173553719008267,0.5082644628099173,357,369,174,305
