threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.01,1205,0.5070539419087137,0.43473325766174803,0.7995824634655533,0.5632352941176471,0.3140495867768595,0.6859504132231405,228,498,96,383
0.02,1205,0.5120331950207468,0.43684820393974505,0.7870563674321504,0.5618479880774963,0.3305785123966942,0.6694214876033058,240,486,102,377
0.03,1205,0.5145228215767634,0.43779342723004694,0.778705636743215,0.560480841472577,0.3402203856749311,0.6597796143250688,247,479,106,373
0.04,1205,0.5161825726141079,0.43838862559241704,0.7724425887265136,0.5593348450491308,0.34710743801652894,0.6528925619834711,252,474,109,370
0.05,1205,0.5178423236514523,0.4384057971014493,0.7578288100208769,0.5554705432287682,0.359504132231405,0.640495867768595,261,465,116,363
0.06,1205,0.5161825726141079,0.437046004842615,0.7536534446764092,0.5532567049808429,0.359504132231405,0.640495867768595,261,465,118,361
0.07,1205,0.5145228215767634,0.43552311435523117,0.7473903966597077,0.5503458877786318,0.3608815426997245,0.6391184573002755,262,464,121,358
0.08,1205,0.5136929460580912,0.4348355663824604,0.7453027139874739,0.5492307692307692,0.3608815426997245,0.6391184573002755,262,464,122,357
0.09,1205,0.5145228215767634,0.4348894348894349,0.7390396659707724,0.5475638051044084,0.36639118457300274,0.6336088154269972,266,460,125,354
0.1,1205,0.5136929460580912,0.43403205918618987,0.7348643006263048,0.5457364341085271,0.3677685950413223,0.6322314049586777,267,459,127,352
0.11,1205,0.5136929460580912,0.4338689740420272,0.732776617954071,0.5450310559006211,0.3691460055096419,0.6308539944903582,268,458,128,351
0.12,1205,0.5136929460580912,0.43370508054522927,0.7306889352818372,0.5443234836702955,0.37052341597796146,0.6294765840220385,269,457,129,350
0.13,1205,0.5170124481327801,0.43586550435865506,0.7306889352818372,0.5460218408736349,0.3760330578512397,0.6239669421487604,273,453,129,350
0.14,1205,0.5211618257261411,0.43859649122807015,0.7306889352818372,0.548159749412686,0.38292011019283745,0.6170798898071626,278,448,129,350
0.15,1205,0.5203319502074689,0.4377358490566038,0.7265135699373695,0.5463108320251178,0.384297520661157,0.6157024793388429,279,447,131,348
0.16,1205,0.5228215767634855,0.43908629441624364,0.7223382045929019,0.5461720599842147,0.39118457300275483,0.6088154269972452,284,442,133,346
0.17,1205,0.5228215767634855,0.43908629441624364,0.7223382045929019,0.5461720599842147,0.39118457300275483,0.6088154269972452,284,442,133,346
0.18,1205,0.5219917012448133,0.4383735705209657,0.7202505219206681,0.5450236966824644,0.39118457300275483,0.6088154269972452,284,442,134,345
0.19,1205,0.5236514522821577,0.4393358876117497,0.7181628392484343,0.5451664025356577,0.3953168044077135,0.6046831955922864,287,439,135,344
0.2,1205,0.5244813278008299,0.43974358974358974,0.7160751565762005,0.5448768864177919,0.39807162534435264,0.6019283746556474,289,437,136,343
