threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.05,151,0.9933774834437086,0.8,1.0,0.888888888888889,0.9931972789115646,0.006802721088435374,146,1,0,4
0.1,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.15,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.2,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.25,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.3,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.35,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.4,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.45,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.5,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.55,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.6,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.65,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.7,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.75,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.8,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.85,151,0.9867549668874173,1.0,0.5,0.6666666666666666,1.0,0.0,147,0,2,2
0.9,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.95,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
