threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.43,1,1205,0.6132780082987552,0.5083655083655083,0.824634655532359,0.6289808917197452,0.4738292011019284,0.5261707988980716,344,382,84,395
0.43,2,1205,0.6215767634854772,0.5154777927321669,0.7995824634655533,0.6268412438625205,0.5041322314049587,0.49586776859504134,366,360,96,383
0.43,3,1205,0.6282157676348548,0.5213204951856947,0.791231732776618,0.6285240464344942,0.5206611570247934,0.4793388429752066,378,348,100,379
0.43,4,1205,0.6257261410788382,0.5193370165745856,0.7849686847599165,0.6251039068994181,0.5206611570247934,0.4793388429752066,378,348,103,376
0.43,5,1205,0.629045643153527,0.5222222222222223,0.7849686847599165,0.6271893244370309,0.5261707988980716,0.4738292011019284,382,344,103,376
0.43,6,1205,0.629045643153527,0.5225352112676056,0.7745302713987474,0.624053826745164,0.5330578512396694,0.4669421487603306,387,339,108,371
0.43,7,1205,0.6340248962655601,0.5269886363636364,0.7745302713987474,0.6272189349112426,0.5413223140495868,0.45867768595041325,393,333,108,371
0.43,8,1205,0.645643153526971,0.5384615384615384,0.7599164926931107,0.6303030303030303,0.5702479338842975,0.4297520661157025,414,312,115,364
0.43,9,1205,0.645643153526971,0.5393939393939394,0.7432150313152401,0.6251097453906936,0.581267217630854,0.418732782369146,422,304,123,356
0.43,10,1205,0.645643153526971,0.5393939393939394,0.7432150313152401,0.6251097453906936,0.581267217630854,0.418732782369146,422,304,123,356
0.44,1,1205,0.6116182572614108,0.5072083879423329,0.8079331941544885,0.6231884057971014,0.4820936639118457,0.5179063360881543,350,376,92,387
0.44,2,1205,0.6182572614107884,0.5129604365620737,0.7849686847599165,0.6204620462046204,0.5082644628099173,0.49173553719008267,369,357,103,376
0.44,3,1205,0.6265560165975104,0.5201668984700973,0.7807933194154488,0.6243739565943238,0.5247933884297521,0.47520661157024796,381,345,105,374
0.44,4,1205,0.6265560165975104,0.520336605890603,0.7745302713987474,0.62248322147651,0.5289256198347108,0.47107438016528924,384,342,108,371
0.44,5,1205,0.6298755186721992,0.5232722143864598,0.7745302713987474,0.6245791245791246,0.5344352617079889,0.465564738292011,388,338,108,371
0.44,6,1205,0.6298755186721992,0.5236051502145923,0.7640918580375783,0.6213921901528013,0.5413223140495868,0.45867768595041325,393,333,113,366
0.44,7,1205,0.624896265560166,0.5194805194805194,0.7515657620041754,0.6143344709897611,0.5413223140495868,0.45867768595041325,393,333,119,360
0.44,8,1205,0.6365145228215767,0.530827067669173,0.7369519832985386,0.6171328671328671,0.5702479338842975,0.4297520661157025,414,312,126,353
0.44,9,1205,0.6431535269709544,0.5372907153729072,0.7369519832985386,0.6214788732394366,0.581267217630854,0.418732782369146,422,304,126,353
0.44,10,1205,0.6431535269709544,0.5372907153729072,0.7369519832985386,0.6214788732394366,0.581267217630854,0.418732782369146,422,304,126,353
0.45,1,1205,0.6157676348547718,0.5106382978723404,0.8016701461377871,0.6238830219333875,0.4931129476584022,0.5068870523415978,358,368,95,384
0.45,2,1205,0.6199170124481328,0.5144429160935351,0.7807933194154488,0.6202321724709784,0.5137741046831956,0.48622589531680444,373,353,105,374
0.45,3,1205,0.6265560165975104,0.5202797202797202,0.7766179540709812,0.6231155778894473,0.5275482093663911,0.4724517906336088,383,343,107,372
0.45,4,1205,0.6265560165975104,0.5204513399153737,0.7703549060542797,0.6212121212121212,0.5316804407713499,0.46831955922865015,386,340,110,369
0.45,5,1205,0.6298755186721992,0.5234042553191489,0.7703549060542797,0.6233108108108109,0.5371900826446281,0.4628099173553719,390,336,110,369
0.45,6,1205,0.6257261410788382,0.5202898550724637,0.7494780793319415,0.6142001710863987,0.5440771349862259,0.4559228650137741,395,331,120,359
0.45,7,1205,0.620746887966805,0.5160818713450293,0.7369519832985386,0.6070507308684436,0.5440771349862259,0.4559228650137741,395,331,126,353
0.45,8,1205,0.6439834024896266,0.538109756097561,0.7369519832985386,0.6220264317180617,0.5826446280991735,0.41735537190082644,423,303,126,353
0.45,9,1205,0.6439834024896266,0.538109756097561,0.7369519832985386,0.6220264317180617,0.5826446280991735,0.41735537190082644,423,303,126,353
0.45,10,1205,0.6514522821576764,0.5455950540958269,0.7369519832985386,0.6269982238010657,0.5950413223140496,0.4049586776859504,432,294,126,353
0.46,1,1205,0.6141078838174274,0.5093833780160858,0.7933194154488518,0.6204081632653061,0.49586776859504134,0.5041322314049587,360,366,99,380
0.46,2,1205,0.6190871369294606,0.5138504155124654,0.7745302713987474,0.6178184845961698,0.5165289256198347,0.4834710743801653,375,351,108,371
0.46,3,1205,0.6240663900414938,0.518361581920904,0.7661795407098121,0.6183656276326874,0.5303030303030303,0.4696969696969697,385,341,112,367
0.46,4,1205,0.6265560165975104,0.5205673758865248,0.7661795407098121,0.6199324324324325,0.5344352617079889,0.465564738292011,388,338,112,367
0.46,5,1205,0.6298755186721992,0.5235378031383737,0.7661795407098121,0.6220338983050847,0.5399449035812672,0.46005509641873277,392,334,112,367
0.46,6,1205,0.6257261410788382,0.5204081632653061,0.7453027139874739,0.6128755364806867,0.546831955922865,0.453168044077135,397,329,122,357
0.46,7,1205,0.620746887966805,0.5161764705882353,0.732776617954071,0.6056945642795514,0.546831955922865,0.453168044077135,397,329,128,351
0.46,8,1205,0.6439834024896266,0.5383435582822086,0.732776617954071,0.6206896551724138,0.5853994490358126,0.41460055096418735,425,301,128,351
0.46,9,1205,0.6439834024896266,0.5383435582822086,0.732776617954071,0.6206896551724138,0.5853994490358126,0.41460055096418735,425,301,128,351
0.46,10,1205,0.6514522821576764,0.5458786936236392,0.732776617954071,0.6256684491978609,0.5977961432506887,0.4022038567493113,434,292,128,351
0.47,1,1205,0.6157676348547718,0.510840108401084,0.7870563674321504,0.6195562859490551,0.5027548209366391,0.4972451790633609,365,361,102,377
0.47,2,1205,0.6190871369294606,0.5140056022408963,0.7661795407098121,0.6152556580050293,0.522038567493113,0.47796143250688705,379,347,112,367
0.47,3,1205,0.6240663900414938,0.5184659090909091,0.7620041753653445,0.6170752324598479,0.5330578512396694,0.4669421487603306,387,339,114,365
0.47,4,1205,0.6265560165975104,0.5206847360912982,0.7620041753653445,0.6186440677966102,0.5371900826446281,0.4628099173553719,390,336,114,365
0.47,5,1205,0.6298755186721992,0.5236728837876614,0.7620041753653445,0.6207482993197279,0.5426997245179064,0.4573002754820937,394,332,114,365
0.47,6,1205,0.6215767634854772,0.51698670605613,0.7306889352818372,0.6055363321799307,0.5495867768595041,0.45041322314049587,399,327,129,350
0.47,7,1205,0.6215767634854772,0.51698670605613,0.7306889352818372,0.6055363321799307,0.5495867768595041,0.45041322314049587,399,327,129,350
0.47,8,1205,0.6448132780082988,0.539291217257319,0.7306889352818372,0.6205673758865248,0.5881542699724518,0.4118457300275482,427,299,129,350
0.47,9,1205,0.6448132780082988,0.539291217257319,0.7306889352818372,0.6205673758865248,0.5881542699724518,0.4118457300275482,427,299,129,350
0.47,10,1205,0.6522821576763486,0.546875,0.7306889352818372,0.6255585344057194,0.6005509641873278,0.39944903581267216,436,290,129,350
0.48,1,1205,0.6157676348547718,0.5108695652173914,0.7849686847599165,0.6189300411522634,0.5041322314049587,0.49586776859504134,366,360,103,376
0.48,2,1205,0.620746887966805,0.5154494382022472,0.7661795407098121,0.6162888329135181,0.5247933884297521,0.47520661157024796,381,345,112,367
0.48,3,1205,0.6240663900414938,0.5184659090909091,0.7620041753653445,0.6170752324598479,0.5330578512396694,0.4669421487603306,387,339,114,365
0.48,4,1205,0.6265560165975104,0.5206847360912982,0.7620041753653445,0.6186440677966102,0.5371900826446281,0.4628099173553719,390,336,114,365
0.48,5,1205,0.6298755186721992,0.5236728837876614,0.7620041753653445,0.6207482993197279,0.5426997245179064,0.4573002754820937,394,332,114,365
0.48,6,1205,0.6215767634854772,0.51698670605613,0.7306889352818372,0.6055363321799307,0.5495867768595041,0.45041322314049587,399,327,129,350
0.48,7,1205,0.6215767634854772,0.51698670605613,0.7306889352818372,0.6055363321799307,0.5495867768595041,0.45041322314049587,399,327,129,350
0.48,8,1205,0.6448132780082988,0.539291217257319,0.7306889352818372,0.6205673758865248,0.5881542699724518,0.4118457300275482,427,299,129,350
0.48,9,1205,0.6448132780082988,0.539291217257319,0.7306889352818372,0.6205673758865248,0.5881542699724518,0.4118457300275482,427,299,129,350
0.48,10,1205,0.6522821576763486,0.546875,0.7306889352818372,0.6255585344057194,0.6005509641873278,0.39944903581267216,436,290,129,350
0.49,1,1205,0.6174273858921162,0.5124309392265194,0.7745302713987474,0.6167913549459684,0.5137741046831956,0.48622589531680444,373,353,108,371
0.49,2,1205,0.620746887966805,0.5156695156695157,0.755741127348643,0.6130397967823878,0.5316804407713499,0.46831955922865015,386,340,117,362
0.49,3,1205,0.6257261410788382,0.5201149425287356,0.755741127348643,0.6161702127659574,0.5399449035812672,0.46005509641873277,392,334,117,362
0.49,4,1205,0.6282157676348548,0.5223665223665224,0.755741127348643,0.6177474402730375,0.5440771349862259,0.4559228650137741,395,331,117,362
0.49,5,1205,0.6315352697095435,0.525399129172714,0.755741127348643,0.6198630136986302,0.5495867768595041,0.45041322314049587,399,327,117,362
0.49,6,1205,0.6273858921161826,0.5225903614457831,0.7244258872651357,0.6071741032370953,0.5633608815426997,0.4366391184573003,409,317,132,347
0.49,7,1205,0.6273858921161826,0.5225903614457831,0.7244258872651357,0.6071741032370953,0.5633608815426997,0.4366391184573003,409,317,132,347
0.49,8,1205,0.6506224066390042,0.5455974842767296,0.7244258872651357,0.6224215246636772,0.6019283746556474,0.39807162534435264,437,289,132,347
0.49,9,1205,0.6506224066390042,0.5455974842767296,0.7244258872651357,0.6224215246636772,0.6019283746556474,0.39807162534435264,437,289,132,347
0.49,10,1205,0.6506224066390042,0.5469255663430421,0.7056367432150313,0.6162260711030082,0.6143250688705234,0.3856749311294766,446,280,141,338
0.5,1,1205,0.6132780082987552,0.5091164095371669,0.7578288100208769,0.6090604026845637,0.5179063360881543,0.4820936639118457,376,350,116,363
0.5,2,1205,0.6157676348547718,0.5115273775216138,0.7411273486430062,0.6052855924978687,0.5330578512396694,0.4669421487603306,387,339,124,355
0.5,3,1205,0.6224066390041494,0.5174927113702624,0.7411273486430062,0.6094420600858369,0.5440771349862259,0.4559228650137741,395,331,124,355
0.5,4,1205,0.624896265560166,0.5197657393850659,0.7411273486430062,0.6110154905335629,0.5482093663911846,0.45179063360881544,398,328,124,355
0.5,5,1205,0.624896265560166,0.52,0.732776617954071,0.608318890814558,0.5537190082644629,0.4462809917355372,402,324,128,351
0.5,6,1205,0.620746887966805,0.5169230769230769,0.7014613778705637,0.5952170062001771,0.5674931129476584,0.4325068870523416,412,314,143,336
0.5,7,1205,0.6257261410788382,0.5217391304347826,0.7014613778705637,0.5983971504897596,0.5757575757575758,0.42424242424242425,418,308,143,336
0.5,8,1205,0.6431535269709544,0.5402298850574713,0.6868475991649269,0.6047794117647058,0.6143250688705234,0.3856749311294766,446,280,150,329
0.5,9,1205,0.6431535269709544,0.5402298850574713,0.6868475991649269,0.6047794117647058,0.6143250688705234,0.3856749311294766,446,280,150,329
0.5,10,1205,0.6431535269709544,0.5402298850574713,0.6868475991649269,0.6047794117647058,0.6143250688705234,0.3856749311294766,446,280,150,329
0.51,1,1205,0.6091286307053941,0.5056980056980057,0.7411273486430062,0.6011854360711262,0.522038567493113,0.47796143250688705,379,347,124,355
0.51,2,1205,0.612448132780083,0.5087976539589443,0.7244258872651357,0.5977605512489234,0.5385674931129476,0.46143250688705234,391,335,132,347
0.51,3,1205,0.6174273858921162,0.5134730538922155,0.7160751565762005,0.5980819529206626,0.5523415977961432,0.4476584022038568,401,325,136,343
0.51,4,1205,0.6149377593360996,0.511380880121396,0.7035490605427975,0.5922671353251318,0.5564738292011019,0.44352617079889806,404,322,142,337
0.51,5,1205,0.6149377593360996,0.511520737327189,0.6951983298538622,0.5893805309734513,0.5619834710743802,0.4380165289256198,408,318,146,333
0.51,6,1205,0.6107883817427386,0.5081168831168831,0.6534446764091858,0.5716894977168949,0.5826446280991735,0.41735537190082644,423,303,166,313
0.51,7,1205,0.6157676348547718,0.5133779264214047,0.6409185803757829,0.5701021355617456,0.5991735537190083,0.40082644628099173,435,291,172,307
0.51,8,1205,0.6215767634854772,0.5199306759098787,0.6263048016701461,0.5681818181818182,0.6184573002754821,0.38154269972451793,449,277,179,300
0.51,9,1205,0.6149377593360996,0.5131810193321616,0.6096033402922756,0.5572519083969466,0.6184573002754821,0.38154269972451793,449,277,187,292
0.51,10,1205,0.6149377593360996,0.5131810193321616,0.6096033402922756,0.5572519083969466,0.6184573002754821,0.38154269972451793,449,277,187,292
0.52,1,1205,0.6058091286307054,0.5029239766081871,0.7181628392484343,0.5915735167669819,0.5316804407713499,0.46831955922865015,386,340,135,344
0.52,2,1205,0.6066390041493775,0.5037821482602118,0.6951983298538622,0.5842105263157895,0.5482093663911846,0.45179063360881544,398,328,146,333
0.52,3,1205,0.6132780082987552,0.5100775193798449,0.6868475991649269,0.5854092526690391,0.5647382920110193,0.43526170798898073,410,316,150,329
0.52,4,1205,0.6132780082987552,0.5103668261562998,0.6680584551148225,0.5786618444846293,0.5771349862258953,0.4228650137741047,419,307,159,320
0.52,5,1205,0.6132780082987552,0.5105008077544426,0.6597077244258872,0.575591985428051,0.5826446280991735,0.41735537190082644,423,303,163,316
