scope,threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
new_patient,0.1,1,424,0.46462264150943394,0.0,0.0,0.0,197,227,0,0
new_patient,0.1,2,424,0.5,0.0,0.0,0.0,212,212,0,0
new_patient,0.1,3,424,0.5188679245283019,0.0,0.0,0.0,220,204,0,0
new_patient,0.1,4,424,0.5259433962264151,0.0,0.0,0.0,223,201,0,0
new_patient,0.1,5,424,0.535377358490566,0.0,0.0,0.0,227,197,0,0
new_patient,0.1,6,424,0.5589622641509434,0.0,0.0,0.0,237,187,0,0
new_patient,0.1,7,424,0.5731132075471698,0.0,0.0,0.0,243,181,0,0
new_patient,0.1,8,424,0.5731132075471698,0.0,0.0,0.0,243,181,0,0
new_patient,0.15,1,424,0.5165094339622641,0.0,0.0,0.0,219,205,0,0
new_patient,0.15,2,424,0.535377358490566,0.0,0.0,0.0,227,197,0,0
new_patient,0.15,3,424,0.5448113207547169,0.0,0.0,0.0,231,193,0,0
new_patient,0.15,4,424,0.5731132075471698,0.0,0.0,0.0,243,181,0,0
new_patient,0.15,5,424,0.5731132075471698,0.0,0.0,0.0,243,181,0,0
new_patient,0.15,6,424,0.5849056603773585,0.0,0.0,0.0,248,176,0,0
new_patient,0.15,7,424,0.5849056603773585,0.0,0.0,0.0,248,176,0,0
new_patient,0.15,8,424,0.5849056603773585,0.0,0.0,0.0,248,176,0,0
new_patient,0.2,1,424,0.5330188679245284,0.0,0.0,0.0,226,198,0,0
new_patient,0.2,2,424,0.5518867924528302,0.0,0.0,0.0,234,190,0,0
new_patient,0.2,3,424,0.5613207547169812,0.0,0.0,0.0,238,186,0,0
new_patient,0.2,4,424,0.5754716981132075,0.0,0.0,0.0,244,180,0,0
new_patient,0.2,5,424,0.5754716981132075,0.0,0.0,0.0,244,180,0,0
new_patient,0.2,6,424,0.5872641509433962,0.0,0.0,0.0,249,175,0,0
new_patient,0.2,7,424,0.5872641509433962,0.0,0.0,0.0,249,175,0,0
new_patient,0.2,8,424,0.5872641509433962,0.0,0.0,0.0,249,175,0,0
new_patient,0.25,1,424,0.5424528301886793,0.0,0.0,0.0,230,194,0,0
new_patient,0.25,2,424,0.5636792452830188,0.0,0.0,0.0,239,185,0,0
new_patient,0.25,3,424,0.5683962264150944,0.0,0.0,0.0,241,183,0,0
new_patient,0.25,4,424,0.5754716981132075,0.0,0.0,0.0,244,180,0,0
