reference,time_center,mov_type,target,block_id,nearest_transition_distance_s
04845288Q-121,2025-03-01 11:32:29.010000+00:00,walking,1,2,1.0
04845288Q-121,2025-03-01 11:32:30.010000+00:00,not_walking,0,2,1.0
04845288Q-121,2025-03-01 11:32:41.010000+00:00,not_walking,0,2,1.0
04845288Q-121,2025-03-01 11:32:42.010000+00:00,walking,1,2,1.0
04845288Q-121,2025-03-01 11:32:48.010000+00:00,walking,1,2,1.0
04845288Q-121,2025-03-01 11:32:49.010000+00:00,not_walking,0,2,1.0
04845288Q-121,2025-03-01 11:35:31.010000+00:00,not_walking,0,3,2.0
04845288Q-121,2025-03-01 11:35:33.010000+00:00,walking,1,3,2.0
04845288Q-121,2025-03-01 11:35:43.010000+00:00,walking,1,3,2.0
04845288Q-121,2025-03-01 11:35:45.010000+00:00,not_walking,0,3,2.0
04845288Q-121,2025-03-01 11:38:17.010000+00:00,not_walking,0,3,1.0
04845288Q-121,2025-03-01 11:38:18.010000+00:00,walking,1,3,1.0
04845288Q-121,2025-03-01 11:38:41.010000+00:00,walking,1,3,3.0
04845288Q-121,2025-03-01 11:38:44.010000+00:00,not_walking,0,3,3.0
04845288Q-121,2025-03-01 11:39:22.010000+00:00,not_walking,0,3,1.0
04845288Q-121,2025-03-01 11:39:23.010000+00:00,walking,1,3,1.0
04845288Q-121,2025-03-01 11:39:33.010000+00:00,walking,1,3,1.0
04845288Q-121,2025-03-01 11:39:34.010000+00:00,not_walking,0,3,1.0
04845288Q-121,2025-03-01 11:40:24.010000+00:00,walking,1,4,1.0
04845288Q-121,2025-03-01 11:40:25.010000+00:00,not_walking,0,4,1.0
47046344M-104,2024-10-15 07:29:59.010000+00:00,not_walking,0,14,3.0
47046344M-104,2024-10-15 07:30:02.010000+00:00,walking,1,14,3.0
47046344M-104,2024-10-15 07:30:15.010000+00:00,walking,1,14,1.0
47046344M-104,2024-10-15 07:30:16.010000+00:00,not_walking,0,14,1.0
47046344M-104,2024-10-15 07:31:50.010000+00:00,not_walking,0,14,4.01
47046344M-104,2024-10-15 07:31:54.020000+00:00,walking,1,14,4.01
47046344M-104,2024-10-15 07:38:09.010000+00:00,walking,1,16,2.0
47046344M-104,2024-10-15 07:38:11.010000+00:00,not_walking,0,16,2.0
47046344M-104,2024-10-15 07:38:31.010000+00:00,not_walking,0,16,1.0
47046344M-104,2024-10-15 07:38:32.010000+00:00,walking,1,16,1.0
47046344M-104,2024-10-15 07:44:11.010000+00:00,walking,1,19,2.0
47046344M-104,2024-10-15 07:44:13.010000+00:00,not_walking,0,19,2.0
47046344M-104,2024-10-15 07:45:23.010000+00:00,not_walking,0,19,2.0
47046344M-104,2024-10-15 07:45:25.010000+00:00,walking,1,19,2.0
663495-44,2025-03-22 17:04:09.010000+00:00,not_walking,0,23,3.0
663495-44,2025-03-22 17:04:12.010000+00:00,walking,1,23,3.0
TABUENCA01-45,2024-04-25 14:15:16.020000+00:00,walking,1,24,3.0
TABUENCA01-45,2024-04-25 14:15:19.020000+00:00,not_walking,0,24,3.0
TABUENCA01-45,2024-04-25 14:15:26.020000+00:00,not_walking,0,24,4.0
TABUENCA01-45,2024-04-25 14:15:30.020000+00:00,walking,1,24,4.0
TABUENCA01-45,2024-04-25 14:17:29.020000+00:00,walking,1,24,3.02
TABUENCA01-45,2024-04-25 14:17:32.040000+00:00,not_walking,0,24,3.02
TABUENCA01-45,2024-04-25 14:17:41.040000+00:00,not_walking,0,24,2.98
TABUENCA01-45,2024-04-25 14:17:44.020000+00:00,walking,1,24,2.98
TABUENCA01-45,2024-04-25 14:20:18.020000+00:00,walking,1,24,4.0
TABUENCA01-45,2024-04-25 14:20:22.020000+00:00,not_walking,0,24,4.0
TABUENCA01-45,2024-04-25 14:20:32.020000+00:00,not_walking,0,24,3.03
TABUENCA01-45,2024-04-25 14:20:35.050000+00:00,walking,1,24,3.03
TABUENCA01-45,2024-04-25 14:21:52.050000+00:00,walking,1,24,4.01
TABUENCA01-45,2024-04-25 14:21:56.060000+00:00,not_walking,0,24,4.01
TABUENCA01-45,2024-04-25 14:22:44.060000+00:00,not_walking,0,24,3.95
TABUENCA01-45,2024-04-25 14:22:48.010000+00:00,walking,1,24,3.95
TABUENCA01-45,2024-04-25 14:23:58.010000+00:00,walking,1,24,4.04
TABUENCA01-45,2024-04-25 14:24:02.050000+00:00,not_walking,0,24,4.04
TABUENCA01-45,2024-04-25 14:24:33.050000+00:00,not_walking,0,24,3.96
TABUENCA01-45,2024-04-25 14:24:37.010000+00:00,walking,1,24,3.96
TABUENCA01-45,2024-04-25 14:39:20.020000+00:00,walking,1,25,3.0
TABUENCA01-45,2024-04-25 14:39:23.020000+00:00,not_walking,0,25,3.0
TABUENCA01-45,2024-04-25 14:39:30.020000+00:00,not_walking,0,25,3.0
TABUENCA01-45,2024-04-25 14:39:33.020000+00:00,walking,1,25,3.0
TABUENCA01-45,2024-04-25 14:41:32.020000+00:00,walking,1,25,3.01
TABUENCA01-45,2024-04-25 14:41:35.030000+00:00,not_walking,0,25,3.01
TABUENCA01-45,2024-04-25 14:41:59.030000+00:00,not_walking,0,25,3.98
TABUENCA01-45,2024-04-25 14:42:03.010000+00:00,walking,1,25,3.98
TABUENCA01-45,2024-04-25 14:44:38.010000+00:00,walking,1,25,3.03
TABUENCA01-45,2024-04-25 14:44:41.040000+00:00,not_walking,0,25,3.03
TABUENCA01-45,2024-04-25 14:45:11.040000+00:00,not_walking,0,25,3.97
TABUENCA01-45,2024-04-25 14:45:15.010000+00:00,walking,1,25,3.97
TABUENCA01-45,2024-04-25 14:46:43.010000+00:00,walking,1,25,3.0
TABUENCA01-45,2024-04-25 14:46:46.010000+00:00,not_walking,0,25,3.0
TABUENCA01-45,2024-04-25 14:47:02.010000+00:00,not_walking,0,25,4.02
TABUENCA01-45,2024-04-25 14:47:06.030000+00:00,walking,1,25,4.02
TABUENCA01-45,2024-04-25 14:49:32.010000+00:00,walking,1,25,3.01
TABUENCA01-45,2024-04-25 14:49:35.020000+00:00,not_walking,0,25,3.01
