model,fold,dataset_source,test_rows,test_not_walking,test_walking,accuracy,precision_walking,recall_walking,f1_walking,precision_macro,recall_macro,f1_macro
random_forest,1,previous_dataset,2325,1304,1021,0.6580645161290323,0.6021699819168174,0.6523016650342801,0.6262341325811002,0.6554738342726006,0.6574391760754222,0.6555665312132611
random_forest,1,auto_influx_heuristic,3210,1936,1274,0.8943925233644859,0.9448144624167459,0.7794348508634223,0.8541935483870968,0.9073308069378774,0.874738086588736,0.8857048328016071
random_forest,2,previous_dataset,2895,1798,1097,0.6659758203799655,0.5315533980582524,0.9981768459434822,0.6936965473550839,0.7645790942387071,0.7307346966091159,0.6632174343307893
random_forest,2,auto_influx_heuristic,3266,1939,1327,0.8612982241273729,0.7956698240866035,0.8862094951017332,0.8385026737967914,0.855608961260304,0.8652295541522075,0.858478597429654
random_forest,3,auto_influx_heuristic,2584,1598,986,0.9187306501547987,0.8975409836065574,0.8884381338742393,0.8929663608562691,0.9145665117037762,0.9129299555478831,0.9137320887250777
random_forest,3,previous_dataset,6099,2907,3192,0.4881128053779308,0.5146443514644351,0.38533834586466165,0.44070225725546397,0.49283039897298325,0.4931507690795616,0.48440796055034385
xgboost,1,previous_dataset,2325,1304,1021,0.6778494623655914,0.6263940520446096,0.6601371204701273,0.642823080591321,0.6742858971191823,0.6759274559405851,0.6747213718663616
xgboost,1,auto_influx_heuristic,3210,1936,1274,0.8890965732087227,0.943050193050193,0.7668759811616954,0.8458874458874459,0.9032178288158048,0.8682003872750625,0.879634720510633
xgboost,2,previous_dataset,2895,1798,1097,0.6659758203799655,0.5318003913894325,0.9908842297174111,0.6921362623368355,0.7600247550366669,0.729313082600641,0.6635464248641519
xgboost,2,auto_influx_heuristic,3266,1939,1327,0.846601347213717,0.7832647462277091,0.8605877920120573,0.8201077199281868,0.8404708686890758,0.8488085943041204,0.8432003771778644
xgboost,3,auto_influx_heuristic,2584,1598,986,0.9090557275541795,0.9121844127332601,0.8427991886409736,0.8761201897733263,0.9097682374485189,0.8963683052090976,0.9021383584146363
xgboost,3,previous_dataset,6099,2907,3192,0.48909657320872274,0.5152121697357886,0.4031954887218045,0.4523725834797891,0.49309622649522006,0.49330741068357165,0.48678862732686445
catboost,1,previous_dataset,2325,1304,1021,0.6825806451612904,0.6346336822074216,0.653281096963761,0.6438223938223938,0.6783843450283575,0.6794012846781996,0.6787769843433149
catboost,1,auto_influx_heuristic,3210,1936,1274,0.8847352024922118,0.9493041749502982,0.749607535321821,0.8377192982456141,0.9022836664225176,0.8616322800576047,0.8741736587846428
catboost,2,previous_dataset,2895,1798,1097,0.6732297063903282,0.537357743691242,0.9899726526891522,0.6966003848620911,0.7623859656671312,0.7349752028740533,0.6712792343472131
catboost,2,auto_influx_heuristic,3266,1939,1327,0.8505817513778322,0.7923344947735191,0.8568198944988696,0.8233164373642288,0.8442830311115002,0.8515662133659898,0.8469367332709739
catboost,3,auto_influx_heuristic,2584,1598,986,0.9136996904024768,0.9071504802561366,0.8620689655172413,0.8840353614144566,0.9122880512998959,0.9038129558499849,0.9076571260076906
catboost,3,previous_dataset,6099,2907,3192,0.48876865059845875,0.5149193548387097,0.400062656641604,0.4502820874471086,0.49288382773712214,0.4931169836355595,0.4862504522433214
